id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
       12415,  0.3964091E+06,  0.6455646E+07,   770.819,  9553.795
       12416,  0.3965564E+06,  0.6455777E+07,    48.450,   472.267
       12417,  0.3965709E+06,  0.6455784E+07,    54.366,   543.206
       12418,  0.3965699E+06,  0.6455775E+07,   102.991,  1553.137
       12419,  0.3965627E+06,  0.6455772E+07,    51.582,   430.417
       12420,  0.3965482E+06,  0.6455768E+07,    57.770,   416.255
       12421,  0.3965572E+06,  0.6455767E+07,   110.010,   737.010
       12422,  0.3965868E+06,  0.6455784E+07,   131.860,  1320.865
       12423,  0.3965788E+06,  0.6455779E+07,    74.204,   757.147
       12424,  0.3965394E+06,  0.6455767E+07,   139.133,  1282.428
       12425,  0.3965289E+06,  0.6455767E+07,    44.877,   301.529
       12426,  0.3965337E+06,  0.6455764E+07,    46.971,   268.820
       12427,  0.3965512E+06,  0.6455759E+07,   136.286,   930.764
       12428,  0.3965397E+06,  0.6455760E+07,    45.497,   317.894
       12429,  0.3965445E+06,  0.6455756E+07,    48.817,   283.338
       12430,  0.3965208E+06,  0.6455759E+07,    38.152,   209.311
       12431,  0.3965292E+06,  0.6455760E+07,   193.813,  1080.765
       12432,  0.3966098E+06,  0.6455799E+07,    51.305,   467.722
       12433,  0.3966241E+06,  0.6455801E+07,   277.870,  2580.263
       12434,  0.3965981E+06,  0.6455786E+07,    75.371,   622.391
       12435,  0.3966097E+06,  0.6455787E+07,   221.009,  1910.136
       12436,  0.3965858E+06,  0.6455775E+07,    74.122,   461.826
       12437,  0.3966000E+06,  0.6455773E+07,   204.778,  1563.270
       12438,  0.3965125E+06,  0.6455759E+07,   210.007,  1346.600
       12439,  0.3965044E+06,  0.6455758E+07,    41.771,   216.831
       12440,  0.3965219E+06,  0.6455751E+07,   202.831,  1679.485
       12441,  0.3965135E+06,  0.6455750E+07,    43.077,   223.989
       12442,  0.3964973E+06,  0.6455749E+07,    48.973,   270.894
       12443,  0.3965053E+06,  0.6455750E+07,   221.400,  1823.414
       12444,  0.3964981E+06,  0.6455741E+07,  2250.263,  8870.180
       12445,  0.3966479E+06,  0.6455822E+07,    71.592,   650.980
       12446,  0.3966600E+06,  0.6455828E+07,   297.504,  2595.668
       12447,  0.3966379E+06,  0.6455804E+07,    53.785,   426.204
       12448,  0.3966554E+06,  0.6455811E+07,   275.565,  1915.374
       12449,  0.3966506E+06,  0.6455804E+07,   121.385,   821.481
       12450,  0.3966240E+06,  0.6455788E+07,    52.325,   465.674
       12451,  0.3966377E+06,  0.6455787E+07,   167.614,  1499.778
       12452,  0.3966751E+06,  0.6455851E+07,    81.077,   586.660
       12453,  0.3966702E+06,  0.6455834E+07,    73.813,   553.132
       12454,  0.3966803E+06,  0.6455840E+07,   218.941,  2760.847
       12455,  0.3966838E+06,  0.6455866E+07,   220.784,  3104.190
       12456,  0.3966883E+06,  0.6455855E+07,   211.255,  4201.339
       12457,  0.3966674E+06,  0.6455817E+07,    66.604,   594.432
       12458,  0.3966785E+06,  0.6455822E+07,   250.816,  4827.262
       12459,  0.3966982E+06,  0.6455870E+07,  3619.545,  9908.930
