ISOTime,flow
26/11/2016,0.124048538
27/11/2016,0.119352694
28/11/2016,0.114681691
29/11/2016,0.11119418
30/11/2016,0.107719728
01/12/2016,0.104257942
02/12/2016,0.101956928
03/12/2016,0.10080843
04/12/2016,0.096227499
05/12/2016,0.090529627
06/12/2016,0.087125297
07/12/2016,0.083731283
08/12/2016,0.078096453
09/12/2016,0.074728033
10/12/2016,0.070250551
11/12/2016,0.069133539
12/12/2016,0.083731283
13/12/2016,0.097370802
14/12/2016,0.105410487
15/12/2016,0.110034598
16/12/2016,0.110034598
17/12/2016,0.105410487
18/12/2016,0.104257942
19/12/2016,0.096227499
20/12/2016,0.090529627
21/12/2016,0.088258908
22/12/2016,0.085992832
23/12/2016,0.08260217
24/12/2016,0.069133539
25/12/2016,0.061339231
26/12/2016,0.053584736
27/12/2016,0.043665164
28/12/2016,0.031604017
29/12/2016,0.021774545
30/12/2016,0.017414065
31/12/2016,0
01/01/2017,0
02/01/2017,0
03/01/2017,0
04/01/2017,0
05/01/2017,0
06/01/2017,0
07/01/2017,0
08/01/2017,0
09/01/2017,0
10/01/2017,0
11/01/2017,0
12/01/2017,0
13/01/2017,0
14/01/2017,0
15/01/2017,0
16/01/2017,0
17/01/2017,0
18/01/2017,0
19/01/2017,0
20/01/2017,0
21/01/2017,0
22/01/2017,0
23/01/2017,0
24/01/2017,0
25/01/2017,0
26/01/2017,0
27/01/2017,0
28/01/2017,0
29/01/2017,0
30/01/2017,0
31/01/2017,0
01/02/2017,0.073607219
02/02/2017,0.101956928
03/02/2017,0.10310676
04/02/2017,0.105410487
05/02/2017,0.108876452
06/02/2017,0.093944665
07/02/2017,0.078096453
08/02/2017,0.063561896
09/02/2017,0.080347193
10/02/2017,0.320601941
11/02/2017,0.216546609
12/02/2017,0.170075456
13/02/2017,0.183946465
14/02/2017,0.187777406
15/02/2017,0.156466031
16/02/2017,0.135902913
17/02/2017,0.12877015
18/02/2017,0.124048538
19/02/2017,0.119352694
20/02/2017,0.115847164
21/02/2017,0.115847164
22/02/2017,0.108876452
23/02/2017,0.110034598
24/02/2017,0.108876452
25/02/2017,0.107719728
26/02/2017,0.104257942
27/02/2017,0.099661253
28/02/2017,0.097370802
01/03/2017,0.096227499
02/03/2017,0.117014146
03/03/2017,0.125226489
04/03/2017,0.114681691
05/03/2017,0.110034598
06/03/2017,0.10310676
07/03/2017,0.097370802
08/03/2017,0.092805105
09/03/2017,0.08939368
10/03/2017,0.083731283
11/03/2017,0.073607219
12/03/2017,0.078096453
13/03/2017,0.110034598
14/03/2017,0.122872198
15/03/2017,0.126406065
16/03/2017,0.12877015
17/03/2017,0.121697453
18/03/2017,0.108876452
19/03/2017,0.099661253
20/03/2017,0.092805105
21/03/2017,0.101956928
22/03/2017,0.121697453
23/03/2017,0.126406065
24/03/2017,0.119352694
25/03/2017,0.106564411
26/03/2017,0.093944665
27/03/2017,0.074728033
28/03/2017,0.06245015
29/03/2017,0.04146757
30/03/2017,0.015235275
31/03/2017,0
01/04/2017,0
02/04/2017,0
03/04/2017,0
04/04/2017,0
05/04/2017,0
06/04/2017,0
07/04/2017,0
08/04/2017,0
09/04/2017,0
10/04/2017,0
11/04/2017,0
12/04/2017,0
13/04/2017,0
14/04/2017,0
15/04/2017,0
16/04/2017,0
17/04/2017,0
18/04/2017,0
19/04/2017,0
20/04/2017,0
21/04/2017,0
22/04/2017,NA
23/04/2017,NA
24/04/2017,NA
