,,Heterocapsa (<10um) (WQ_PHY_DINO) 0.11%,Gyrodinium (>10um) (WQ_PHY_DINO) 3.05%,Gymnodinium (Medium) (WQ_PHY_DINO) 0.74%,Plagioselmis  (Other) 2.09%)
,,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 0.11%,Skeletonema costatum (WQ_PHY_MDIAT) 2.91%,Pyramimonas  (WQ_PHY_GRN) 0.62%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 1.97%)


Sites: SUC,,Summer,Autumn,Winter,Spring
,,Chlamydomonas  (WQ_PHY_GRN) 89.72%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 43.82%,Gymnodinium (small) (WQ_PHY_DINO) 44.04%,Cryptomonas  (Other) 31.84%)
,,Euglena (Other) 6.16%,Plagioselmis  (Other) 13.64%,small cryptophytes  (Other) 25.21%,Gymnodinium (small) (WQ_PHY_DINO) 20.55%)
,,Scrippsiella  trochoidea (WQ_PHY_DINO) 2.31%,Teleaulax  (Other) 5.33%,Cyclotella (WQ_PHY_MDIAT) 9.43%,passive chlorophyte (<3um) (WQ_PHY_GRN) 10.71%)
,,Thalassiosira (WQ_PHY_MDIAT) 0.73%,Gymnodinium (small) (WQ_PHY_DINO) 5.32%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 7.10%,Naviculoid (>10um) (WQ_PHY_FDIAT) 6.43%)
,,Skeletonema costatum (WQ_PHY_MDIAT) 0.21%,Gymnodinium (Medium) (WQ_PHY_DINO) 4.40%,Cylindrotheca  closterium  (WQ_PHY_MDIAT) 6.03%,Gymnodinium (Medium) (WQ_PHY_DINO) 5.73%)
,,Gymnodinium (small) (WQ_PHY_DINO) 0.20%,Skeletonema costatum (WQ_PHY_MDIAT) 3.05%,Naviculoid (>10um) (WQ_PHY_FDIAT) 3.10%,small cryptophytes  (Other) 4.90%)
,,Peridinium (WQ_PHY_DINO) 0.10%,Prorocentrum dentatum (WQ_PHY_DINO) 2.99%,Navicula sp. (<10um) (WQ_PHY_FDIAT) 0.84%,Pyramimonas  (WQ_PHY_GRN) 3.36%)
,,Cylindrotheca  closterium  (WQ_PHY_MDIAT) 0.09%,passive chlorophyte (<3um) (WQ_PHY_GRN) 2.78%,Synedra (WQ_PHY_MDIAT) 0.79%,Skeletonema costatum (WQ_PHY_MDIAT) 2.70%)
,,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 0.08%,Gyrodinium (>10um) (WQ_PHY_DINO) 2.32%,Pyramimonas  (WQ_PHY_GRN) 0.60%,Navicula sp. (<10um) (WQ_PHY_FDIAT) 2.08%)
,,Gyrodinium (>10um) (WQ_PHY_DINO) 0.06%,Navicula sp. (<10um) (WQ_PHY_FDIAT) 1.91%,Plagioselmis  (Other) 0.57%,Cyclotella (WQ_PHY_MDIAT) 1.91%)


