MAY	29/09/2009	09	2009	Grab	S	0.503	NaN	0.6	7041	81.3	3380	3.38	16.39	7.53	0.0005	0.61	0.13	0.75	0.88	0.086	0.05	0.024	2.1	90	13
MAY	29/09/2009	09	2009	Grab	B	3.500	4	NaN	7092	80.3	3920	3.92	16.39	7.52	NaN	0.63	0.13	0.76	0.89	0.078	0.052	0.024	2.1	NaN	NaN
MAY	05/10/2009	10	2009	Grab	S	0.520	NaN	0.9	6191	NaN	3390	3.39	19.35	7.46	0.0014	0.7	0.13	0.83	0.97	0.067	0.049	0.02	2.2	88	13
MAY	05/10/2009	10	2009	Grab	B	3.000	3.5	NaN	6254	NaN	3430	3.43	17.13	7.39	NaN	0.69	0.12	0.82	0.94	0.066	0.049	0.021	2.1	NaN	NaN
MAY	12/10/2009	10	2009	Grab	S	0.502	NaN	1	6574	79.7	3610	3.61	19.08	NaN	0.0018	0.5	0.1	0.68	0.78	0.091	0.049	0.019	1.8	93	13
MAY	12/10/2009	10	2009	Grab	B	3.000	3.5	NaN	6593	78.8	3620	3.62	18.97	NaN	NaN	0.5	0.1	0.69	0.79	0.095	0.049	0.019	1.8	NaN	NaN
MAY	19/10/2009	10	2009	Grab	S	0.500	NaN	1	7067	78.5	3890	3.89	22.06	7.59	0.0045	0.54	0.11	0.71	0.82	0.087	0.048	0.017	2	100	13
MAY	19/10/2009	10	2009	Grab	B	3.000	3.4	NaN	25070	20	15300	15.3	20.74	7.34	NaN	0.41	0.014	0.69	0.7	0.088	0.064	0.026	2.1	NaN	NaN
MAY	26/10/2009	10	2009	Grab	S	0.468	NaN	0.8	10600	97.8	6010	6.01	21.89	7.85	0.044	0.49	0.01	0.79	0.8	0.01	0.074	0.005	2	110	11
MAY	26/10/2009	10	2009	Grab	B	4.000	3.5	NaN	30080	44.1	18680	18.68	20.62	7.53	NaN	0.34	0.01	0.45	0.46	0.031	0.049	0.012	1.6	NaN	NaN
MAY	02/11/2009	11	2009	Grab	S	0.542	NaN	0.5	14620	85.1	8510	8.51	21.29	7.69	0.006	0.5	0.019	0.87	0.89	0.059	0.05	0.005	2	110	11
MAY	02/11/2009	11	2009	Grab	B	2.500	3	NaN	24580	41.7	14980	14.98	20.64	7.37	NaN	0.43	0.015	0.75	0.77	0.13	0.062	0.006	1.8	NaN	NaN
MAY	09/11/2009	11	2009	Grab	S	0.504	NaN	1	19540	82.6	11630	11.63	23.94	7.63	0.0096	0.44	0.014	0.67	0.68	0.023	0.048	0.01	1.7	110	10
MAY	09/11/2009	11	2009	Grab	B	3.000	3.5	NaN	33920	18.1	21290	21.29	22.95	7.3	NaN	0.35	0.011	0.58	0.6	0.11	0.051	0.025	1.6	NaN	NaN
MAY	16/11/2009	11	2009	Grab	S	0.520	NaN	1	25280	79.3	15370	15.37	26.39	7.54	0.011	0.42	0.024	0.75	0.77	0.061	0.067	0.018	2.1	130	9
MAY	16/11/2009	11	2009	Grab	B	3.000	3.5	NaN	32290	21.8	20130	20.13	25.26	7.25	NaN	0.34	0.024	0.67	0.69	0.25	0.082	0.03	2.1	NaN	NaN
MAY	23/11/2009	11	2009	Grab	S	0.507	NaN	0.8	92.6	7.24	6440	6.44	26.01	7.68	0.012	0.61	0.01	0.76	0.77	0.031	0.052	0.012	2.3	120	12
MAY	23/11/2009	11	2009	Grab	B	2.600	2.5	NaN	19.1	1.49	14990	14.99	23.45	7.24	NaN	0.51	0.01	0.76	0.76	0.05	0.091	0.021	2.5	NaN	NaN
MAY	30/11/2009	11	2009	Grab	S	0.495	NaN	0.7	19890	100.2	11830	11.83	26.17	7.84	0.012	0.33	0.01	0.77	0.78	0.017	0.085	0.019	2.3	120	11
MAY	30/11/2009	11	2009	Grab	B	3.000	3.5	NaN	32660	17	20410	20.41	24.2	7.33	NaN	0.49	0.01	0.59	0.6	0.013	0.1	0.033	2.4	NaN	NaN
MAY	07/12/2009	12	2009	Grab	S	0.502	NaN	0.7	21380	80.7	12780	12.78	27.16	7.65	0.014	0.56	0.01	0.79	0.8	0.016	0.083	0.029	2.7	120	10
MAY	07/12/2009	12	2009	Grab	B	2.700	3.2	NaN	29320	38.4	18080	18.08	26.82	7.38	NaN	0.46	0.01	0.7	0.71	0.086	0.12	0.045	2.7	NaN	NaN
MAY	14/12/2009	12	2009	Grab	S	0.503	NaN	0.7	26230	93.8	15990	15.99	27.22	7.96	0.024	0.55	0.01	1.1	1.1	0.01	0.15	0.027	2.7	120	10
MAY	14/12/2009	12	2009	Grab	B	3.000	3.5	NaN	37530	35	23760	23.76	26.11	7.5	NaN	0.44	0.01	0.64	0.64	0.01	0.11	0.036	2.5	NaN	NaN
MAY	21/12/2009	12	2009	Grab	S	0.527	NaN	1	28930	123.6	17770	17.77	29.19	7.93	0.02	0.52	0.01	0.9	0.91	0.01	0.11	0.031	2.6	120	10
MAY	21/12/2009	12	2009	Grab	B	3.000	3.5	NaN	37610	26	23800	23.8	26.78	7.33	NaN	0.49	0.01	0.7	0.71	0.01	0.12	0.048	2.6	NaN	NaN
MAY	29/12/2009	12	2009	Grab	S	0.589	NaN	0.7	33950	93.1	21220	21.22	28.13	7.69	0.018	0.47	0.01	0.95	0.95	0.01	0.15	0.026	1.9	120	9
MAY	29/12/2009	12	2009	Grab	B	3.000	3.3	NaN	40040	55.5	25490	25.49	27.58	7.57	NaN	0.39	0.01	0.73	0.73	0.01	0.14	0.026	2.1	NaN	NaN
RON	15/12/2008	12	2008	Grab	S	0.555	NaN	1	17220	66	10110	10.11	26.86	7.32	0.02	0.66	0.01	0.94	0.95	0.013	0.085	0.007	2.5	110	28
RON	15/12/2008	12	2008	Grab	B	3.800	4	NaN	26170	49.7	15950	15.95	27.23	7.28	NaN	0.57	0.01	0.88	0.89	0.075	0.13	0.017	2.6	NaN	NaN
RON	22/12/2008	12	2008	Grab	S	0.526	NaN	0.7	16080	95.7	9400	9.4	25.5	7.84	0.038	0.58	0.01	0.96	0.96	0.01	0.088	0.006	2.8	110	13
RON	22/12/2008	12	2008	Grab	B	4.000	4.4	NaN	24040	31.7	14560	14.56	25.34	7.31	NaN	0.53	0.01	0.87	0.88	0.041	0.13	0.016	2.8	NaN	NaN
RON	29/12/2008	12	2008	Grab	S	0.517	NaN	0.5	18580	99.4	10960	10.96	28	7.64	0.064	0.72	0.01	1.2	1.2	0.01	0.13	0.008	3.2	120	13
RON	29/12/2008	12	2008	Grab	B	2.500	3	NaN	22690	52.9	13650	13.65	26.94	7.28	NaN	0.74	0.01	0.96	0.96	0.01	0.097	0.012	3.2	NaN	NaN
RON	05/01/2009	01	2009	Grab	S	0.498	NaN	0.6	24600	93.7	14870	14.87	29.16	8.06	0.05	0.62	0.01	1.1	1.1	0.01	0.13	0.017	3.5	120	11
RON	05/01/2009	01	2009	Grab	B	3.900	4.4	NaN	30080	32	18550	18.55	29.14	7.68	NaN	0.56	0.01	0.82	0.82	0.01	0.11	0.027	3.3	NaN	NaN
RON	12/01/2009	01	2009	Grab	S	0.523	NaN	1.2	27060	56.9	16500	16.5	29.56	7.29	0.0086	0.83	0.013	1.1	1.1	0.16	0.091	0.03	3.9	130	3
RON	12/01/2009	01	2009	Grab	B	3.300	3.8	NaN	28830	28	17700	17.7	29.35	7.29	NaN	0.78	0.021	1.1	1.1	0.23	0.13	0.045	3.6	NaN	NaN
RON	19/01/2009	01	2009	Grab	S	0.485	NaN	0.8	26870	89.4	16440	16.44	25.91	7.77	0.019	0.63	0.01	1	1	0.01	0.098	0.014	3.4	120	15
RON	19/01/2009	01	2009	Grab	B	3.800	4.2	NaN	35810	28.7	22290	22.29	26.89	7.33	NaN	0.56	0.011	0.75	0.76	0.17	0.094	0.047	3	NaN	NaN
RON	27/01/2009	01	2009	Grab	S	0.495	NaN	1	31020	62	19200	19.2	28.51	7.54	0.013	0.55	0.01	0.83	0.84	0.01	0.091	0.018	3.6	120	15
RON	27/01/2009	01	2009	Grab	B	3.400	3.9	NaN	34700	43.6	21740	21.74	28.2	7.41	NaN	0.5	0.013	0.69	0.7	0.039	0.1	0.028	3.2	NaN	NaN
RON	02/02/2009	02	2009	Grab	S	0.514	NaN	1	17070	68.9	9980	9.98	28.83	7.43	0.014	0.84	0.069	1.1	1.2	0.03	0.076	0.012	4.9	150	13
RON	02/02/2009	02	2009	Grab	B	3.300	2.8	NaN	37400	11.3	23640	23.64	27.54	7.04	NaN	0.52	0.01	0.56	0.57	0.018	0.097	0.051	3.7	NaN	NaN
RON	09/02/2009	02	2009	Grab	S	0.593	NaN	0.5	17000	115.3	9980	9.98	25.57	7.95	0.077	1.2	0.061	2.1	2.2	0.02	0.16	0.006	3.9	130	23
RON	09/02/2009	02	2009	Grab	B	3.500	4	NaN	38640	18.4	24500	24.5	27.48	7.29	NaN	1.1	0.01	1.9	1.9	0.57	0.62	0.39	4.3	NaN	NaN
RON	16/02/2009	02	2009	Grab	S	0.497	NaN	0.6	29050	52.8	17910	17.91	25.76	7.71	0.025	0.78	0.027	1.5	1.5	0.038	0.16	0.034	3.1	130	16
RON	16/02/2009	02	2009	Grab	B	3.500	4	NaN	37850	4.3	23940	23.94	24.94	7.32	NaN	0.55	0.01	1.1	1.1	0.28	0.2	0.1	2.5	NaN	NaN
RON	23/02/2009	02	2009	Grab	S	0.498	NaN	NaN	32210	67.1	20370	20.37	25.21	7.51	0.013	0.75	0.01	1	1.1	0.032	0.12	0.041	3.6	140	15
RON	23/02/2009	02	2009	Insitu	B	3.509	4.1	NaN	36510	44.6	23050	23.05	25.66	7.44	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
RON	02/03/2009	03	2009	Grab	S	0.500	NaN	1.1	33780	100.5	21200	21.2	23.16	7.74	0.022	0.78	0.01	0.93	0.93	0.01	0.09	0.022	3.4	130	13
RON	02/03/2009	03	2009	Grab	B	3.500	4	NaN	35440	68.4	22350	22.35	23.4	7.52	NaN	0.68	0.01	0.9	0.9	0.01	0.098	0.029	3.2	NaN	NaN
RON	09/03/2009	03	2009	Grab	S	0.508	NaN	1.2	31050	83.4	19300	19.3	24.01	7.57	0.0093	0.8	0.01	0.91	0.91	0.01	0.076	0.02	3.7	140	12
RON	09/03/2009	03	2009	Grab	B	4.100	4.6	NaN	39750	55.6	24910	24.91	24.19	7.42	NaN	0.66	0.01	0.76	0.77	0.098	0.1	0.046	2.9	NaN	NaN
RON	16/03/2009	03	2009	Grab	S	0.501	NaN	1.1	33310	89.3	20860	20.86	23.59	7.54	0.016	0.76	0.01	1	1	0.01	0.094	0.033	3.9	140	11
RON	16/03/2009	03	2009	Grab	B	4.000	4	NaN	41240	44.2	26430	26.43	23.56	7.3	NaN	0.6	0.013	0.87	0.88	0.15	0.11	0.075	3.4	NaN	NaN
RON	23/03/2009	03	2009	Grab	S	0.500	NaN	NaN	36660	88.6	26840	26.84	23.33	7.69	0.01	0.7	0.01	0.91	0.91	0.01	0.084	0.032	3.3	140	9
RON	23/03/2009	03	2009	Grab	B	4.000	4.5	NaN	41830	52.5	24550	24.55	23.8	7.46	NaN	0.7	0.011	0.91	0.92	0.032	0.12	0.045	3.3	NaN	NaN
RON	30/03/2009	03	2009	Grab	S	0.566	NaN	0.5	38520	82.7	24510	24.51	22.85	7.55	0.01	0.64	0.01	0.87	0.88	0.01	0.096	0.05	3.1	140	13
RON	30/03/2009	03	2009	Grab	B	4.100	4.6	NaN	39850	67.8	25460	25.46	22.54	7.45	NaN	0.6	0.013	0.76	0.78	0.067	0.096	0.058	3.1	NaN	NaN
RON	06/04/2009	04	2009	Grab	S	0.498	NaN	1	38160	92.2	24280	24.28	20.95	7.64	0.018	0.68	0.056	0.92	0.98	0.027	0.09	0.037	3.2	140	11
RON	06/04/2009	04	2009	Grab	B	3.500	4	NaN	40310	73.3	25800	25.8	20.71	7.52	NaN	0.66	0.056	0.78	0.84	0.095	0.091	0.048	3.1	NaN	NaN
RON	14/04/2009	04	2009	Grab	S	0.533	NaN	1.7	41930	71.6	26960	26.96	20.73	7.5	0.003	0.6	0.022	0.68	0.71	0.043	0.078	0.038	2.7	140	8
RON	14/04/2009	04	2009	Grab	B	4.000	4.4	NaN	45000	58.1	29160	29.16	20.78	7.45	NaN	0.5	0.018	0.6	0.62	0.092	0.079	0.051	2.6	NaN	NaN
RON	20/04/2009	04	2009	Grab	S	0.500	NaN	1.3	42910	81.4	27650	27.65	22.27	7.47	0.011	0.53	0.046	0.96	1	0.052	0.074	0.04	2.7	140	9
RON	20/04/2009	04	2009	Grab	B	3.800	4.3	NaN	46440	38.7	30200	30.2	21.53	7.3	NaN	0.48	0.031	0.66	0.69	0.18	0.088	0.055	2.6	NaN	NaN
RON	27/04/2009	04	2009	Grab	S	0.499	NaN	2.4	44020	71.9	28460	28.46	20.83	7.44	0.0057	0.52	0.042	0.68	0.72	0.026	0.069	0.053	2.2	140	11
RON	27/04/2009	04	2009	Grab	B	4.200	4.7	NaN	44580	55.5	28860	28.86	20.27	7.37	NaN	0.52	0.041	0.58	0.62	0.063	0.071	0.061	2.2	NaN	NaN
RON	04/05/2009	05	2009	Grab	S	0.510	NaN	2	43080	75.6	27790	27.79	18.82	7.39	0.0037	0.51	0.06	0.7	0.76	0.041	0.065	0.058	2.5	140	10
RON	04/05/2009	05	2009	Grab	B	3.300	3.8	NaN	46430	64.2	30200	30.2	19.46	7.37	NaN	0.5	0.038	0.63	0.67	0.09	0.096	0.075	2.3	NaN	NaN
RON	11/05/2009	05	2009	Grab	S	0.460	NaN	1.6	46830	91.3	30500	30.5	19.41	7.64	0.0068	0.41	0.013	0.6	0.62	0.01	0.066	0.035	2.4	140	8
RON	11/05/2009	05	2009	Grab	B	4.500	5	NaN	47570	63.3	31030	31.03	18.84	7.44	NaN	0.44	0.015	0.5	0.51	0.017	0.067	0.043	2.4	NaN	NaN
RON	18/05/2009	05	2009	Grab	S	0.499	NaN	2.5	47850	76.1	31230	31.23	17.2	7.49	0.011	0.48	0.026	0.73	0.76	0.012	0.077	0.036	2.9	140	12
RON	18/05/2009	05	2009	Grab	B	3.500	3.7	NaN	49410	53.1	32370	32.37	17.99	7.35	NaN	0.47	0.024	0.55	0.57	0.056	0.072	0.042	2.5	NaN	NaN
RON	25/05/2009	05	2009	Grab	S	0.507	NaN	1.7	41230	51.4	28140	28.14	16.5	7.21	0.0027	0.55	0.077	0.76	0.84	0.14	0.069	0.038	2.9	130	8
RON	25/05/2009	05	2009	Grab	B	4.400	4.9	NaN	43580	46.8	24880	24.88	16.52	7.21	NaN	0.45	0.052	0.76	0.81	0.15	0.071	0.045	2.6	NaN	NaN
RON	02/06/2009	06	2009	Grab	S	0.532	NaN	1.5	38990	69.5	31810	31.81	16.78	7.42	0.01	0.53	0.087	0.78	0.87	0.11	0.063	0.023	3.2	130	8
RON	02/06/2009	06	2009	Grab	B	3.500	4	NaN	48660	50.4	27480	27.48	16.28	7.45	NaN	0.34	0.052	0.44	0.49	0.086	0.054	0.032	2.2	NaN	NaN
RON	08/06/2009	06	2009	Grab	S	0.501	NaN	2.7	42840	67	27600	27.6	15.77	7.44	0.0018	0.52	0.074	0.63	0.7	0.097	0.048	0.026	2.6	130	6
RON	08/06/2009	06	2009	Grab	B	4.000	4.5	NaN	44240	53.7	28610	28.61	16.15	7.38	NaN	0.42	0.066	0.55	0.61	0.12	0.051	0.029	2.3	NaN	NaN
RON	15/06/2009	06	2009	Grab	S	0.507	NaN	2	38140	45.5	24280	24.28	16.02	7.27	0.0016	0.55	0.089	0.77	0.86	0.18	0.047	0.021	3.2	130	8
RON	15/06/2009	06	2009	Grab	B	4.000	4.5	NaN	45710	29.8	29680	29.68	16.74	7.35	NaN	0.54	0.06	0.76	0.82	0.2	0.066	0.036	2.2	NaN	NaN
RON	22/06/2009	06	2009	Grab	S	0.510	NaN	1.5	31580	81.7	4970	4.97	15.1	7.29	0.0055	0.47	0.09	0.64	0.73	0.066	0.048	0.015	2.5	120	7
RON	22/06/2009	06	2009	Grab	B	4.200	4.7	NaN	39800	48.7	25440	25.44	16.18	7.15	NaN	0.4	0.084	0.62	0.7	0.19	0.059	0.028	2.2	NaN	NaN
RON	30/06/2009	06	2009	Grab	S	0.506	NaN	0.9	8855	74.3	4970	4.97	13.79	7.33	0.0009	0.43	0.44	0.62	1.1	0.062	0.038	0.008	4	73	10
RON	30/06/2009	06	2009	Grab	B	4.300	4.8	NaN	37610	15.8	23900	23.9	15.59	7.14	NaN	0.34	0.089	0.73	0.82	0.35	0.062	0.036	2.5	NaN	NaN
RON	06/07/2009	07	2009	Grab	S	0.470	NaN	1.2	13530	83.8	7800	7.8	13.46	7.7	0.0057	0.62	0.92	0.68	1.6	0.041	0.039	0.015	4.9	110	14
RON	06/07/2009	07	2009	Grab	B	4.500	4.5	NaN	36020	35	22740	22.74	14.98	7.34	NaN	0.3	0.26	0.55	0.8	0.22	0.049	0.032	2.6	NaN	NaN
RON	13/07/2009	07	2009	Grab	S	0.506	NaN	1	9122	85.3	5130	5.13	12.72	7.33	0.0076	0.78	1.1	0.91	2	0.021	0.046	0.009	4.9	79	14
RON	13/07/2009	07	2009	Grab	B	3.500	4	NaN	33620	10.9	21120	21.12	14.78	7	NaN	0.4	0.31	0.91	1.2	0.47	0.058	0.039	3.3	NaN	NaN
RON	20/07/2009	07	2009	Grab	S	0.520	NaN	0.3	4219	80.6	2300	2.3	13.55	7.62	0.0077	0.65	0.82	0.77	1.6	0.041	0.13	0.017	3.8	45	14
RON	20/07/2009	07	2009	Grab	B	4.400	4.9	NaN	4259	80.6	2330	2.33	13.54	7.43	NaN	0.69	0.81	0.82	1.6	0.044	0.13	0.017	3.8	NaN	NaN
RON	27/07/2009	07	2009	Grab	S	0.504	NaN	0.4	7256	92.4	4020	4.02	11.94	7.43	0.0033	0.79	2.1	1	3.2	0.078	0.065	0.026	5.2	70	17
RON	27/07/2009	07	2009	Grab	B	3.700	4.2	NaN	7258	91.9	4020	4.02	11.93	7.4	NaN	1.1	2.2	1.2	3.3	0.081	0.065	0.024	5.3	NaN	NaN
RON	03/08/2009	08	2009	Grab	S	0.503	NaN	1	7155	89.8	3960	3.96	14	7.49	0.0072	0.81	1.4	0.89	2.3	0.043	0.032	0.009	4.5	78	15
RON	03/08/2009	08	2009	Grab	B	4.000	4.5	NaN	8261	80.6	4610	4.61	12.34	7.49	NaN	0.75	1.5	0.93	2.5	0.044	0.035	0.009	4.5	NaN	NaN
RON	10/08/2009	08	2009	Grab	S	0.495	NaN	1.1	7849	84.1	4370	4.37	15.35	7.51	0.006	0.61	0.8	0.83	1.6	0.046	0.029	0.006	3	83	14
RON	10/08/2009	08	2009	Grab	B	4.300	4.8	NaN	7923	80	4410	4.41	15.29	7.47	NaN	0.7	0.81	0.77	1.6	0.066	0.027	0.005	3	NaN	NaN
RON	18/08/2009	08	2009	Grab	S	0.504	NaN	0.5	6344	85.8	3480	3.48	14.78	7.4	0.0018	0.54	0.38	0.6	0.98	0.044	0.056	0.025	3.3	74	16
RON	18/08/2009	08	2009	Grab	B	4.500	5	NaN	6474	84.7	3560	3.56	14.57	7.4	NaN	0.52	0.37	0.59	0.96	0.051	0.06	0.025	3.2	NaN	NaN
RON	24/08/2009	08	2009	Grab	S	0.514	NaN	0.4	5095	88.1	2760	2.76	15.05	7.53	0.0016	0.81	0.38	0.92	1.3	0.05	0.096	0.053	4.3	70	18
RON	24/08/2009	08	2009	Grab	B	4.000	4.5	NaN	5105	86.8	2760	2.76	15.07	7.48	NaN	0.82	0.38	0.92	1.3	0.051	0.095	0.05	4.3	NaN	NaN
RON	31/08/2009	08	2009	Grab	S	0.501	NaN	0.8	7099	89.6	3930	3.93	13.89	7.62	0.0005	0.67	0.33	0.74	1.1	0.058	0.042	0.021	3.3	87	16
RON	31/08/2009	08	2009	Grab	B	3.500	4	NaN	7114	89.2	3930	3.93	13.91	7.61	NaN	0.72	0.32	0.8	1.1	0.059	0.047	0.021	3.3	NaN	NaN
RON	07/09/2009	09	2009	Grab	S	0.501	NaN	0.8	6518	84.6	3580	3.58	15.05	7.68	0.0005	0.74	0.3	0.82	1.1	0.058	0.041	0.019	2.6	85	14
RON	07/09/2009	09	2009	Grab	B	4.000	4.4	NaN	6578	82.3	3620	3.62	14.7	7.66	NaN	0.66	0.3	0.84	1.1	0.064	0.046	0.02	2.6	NaN	NaN
RON	14/09/2009	09	2009	Grab	S	0.509	NaN	0.5	3535	85.7	1870	1.87	15.37	7.38	0.0013	0.78	0.25	0.99	1.2	0.04	0.1	0.043	3.4	52	18
RON	14/09/2009	09	2009	Grab	B	4.200	4.7	NaN	3549	85	1880	1.88	15.31	7.36	NaN	0.77	0.24	0.95	1.2	0.041	0.1	0.047	3.5	NaN	NaN
RON	21/09/2009	09	2009	Grab	S	0.508	NaN	0.5	5741	86	3130	3.13	15.74	7.51	0.0007	0.67	0.2	0.82	1	0.032	0.06	0.024	2.6	74	15
RON	21/09/2009	09	2009	Grab	B	4.700	4.7	NaN	5776	84.6	3150	3.15	15.61	7.49	NaN	0.7	0.2	0.82	1	0.038	0.063	0.014	2.6	NaN	NaN
RON	29/09/2009	09	2009	Grab	S	0.506	NaN	0.8	6199	88.2	3400	3.4	15.51	7.58	0.0005	0.54	0.14	0.66	0.8	0.037	0.036	0.02	2.3	85	12
RON	29/09/2009	09	2009	Grab	B	3.900	4.3	NaN	7551	83.4	4190	4.19	16.41	7.54	NaN	0.62	0.11	0.75	0.86	0.062	0.045	0.022	1.9	NaN	NaN
RON	05/10/2009	10	2009	Grab	S	0.516	NaN	0.9	6282	NaN	3440	3.44	19.82	7.4	0.0005	0.63	0.095	0.75	0.85	0.051	0.04	0.016	1.9	89	13
RON	05/10/2009	10	2009	Grab	B	3.900	4.4	NaN	6420	NaN	3520	3.52	17.07	7.35	NaN	0.64	0.086	0.79	0.87	0.057	0.045	0.018	1.8	NaN	NaN
RON	12/10/2009	10	2009	Grab	S	0.501	NaN	1.1	6752	75.2	3710	3.71	18.92	NaN	0.001	0.46	0.075	0.65	0.72	0.073	0.041	0.016	1.7	92	13
RON	12/10/2009	10	2009	Grab	B	4.000	4.5	NaN	6763	72.3	3720	3.72	18.59	NaN	NaN	0.5	0.077	0.66	0.73	0.082	0.045	0.017	1.7	NaN	NaN
RON	19/10/2009	10	2009	Grab	S	0.497	NaN	1	6487	76.7	3550	3.55	22.09	7.5	0.0046	0.51	0.071	0.7	0.77	0.075	0.046	0.016	1.9	97	13
RON	19/10/2009	10	2009	Grab	B	3.700	4.2	NaN	6500	74.7	3560	3.56	21.98	7.44	NaN	0.49	0.073	0.69	0.76	0.086	0.044	0.016	1.9	NaN	NaN
RON	26/10/2009	10	2009	Grab	S	0.485	NaN	0.7	7384	82.8	4080	4.08	21.64	7.64	0.025	0.51	0.012	0.75	0.76	0.012	0.061	0.007	1.9	100	11
RON	26/10/2009	10	2009	Grab	B	4.000	4.5	NaN	14920	48	8690	8.69	21.89	7.38	NaN	0.47	0.013	0.68	0.7	0.073	0.06	0.01	2	NaN	NaN
RON	02/11/2009	11	2009	Grab	S	0.503	NaN	0.5	10400	95.3	5890	5.89	21.78	7.74	0.036	0.54	0.012	0.93	0.94	0.01	0.08	0.005	2.1	110	11
RON	02/11/2009	11	2009	Grab	B	3.100	3.6	NaN	13600	52.2	7870	7.87	20.81	7.39	NaN	0.53	0.014	0.76	0.77	0.072	0.056	0.005	2.1	NaN	NaN
RON	09/11/2009	11	2009	Grab	S	0.515	NaN	1	12910	81.2	13200	13.2	24.59	7.59	0.0087	0.52	0.01	0.71	0.72	0.01	0.035	0.005	1.8	110	12
RON	09/11/2009	11	2009	Grab	B	4.000	4.5	NaN	21940	36.9	11070	11.07	24.06	7.31	NaN	0.49	0.013	0.86	0.88	0.17	0.063	0.021	1.7	NaN	NaN
RON	16/11/2009	11	2009	Grab	S	0.530	NaN	0.6	18910	98.5	11190	11.19	26.1	7.7	0.045	0.55	0.026	1.1	1.1	0.02	0.12	0.012	2	120	12
RON	16/11/2009	11	2009	Grab	B	4.300	4.8	NaN	24900	12	15130	15.13	25.68	7.16	NaN	0.44	0.017	0.82	0.84	0.12	0.097	0.009	2.1	NaN	NaN
RON	23/11/2009	11	2009	Grab	S	0.517	NaN	0.8	8349	96	4630	4.63	25.28	7.68	0.016	0.58	0.01	0.78	0.79	0.018	0.042	0.008	1.9	130	13
RON	23/11/2009	11	2009	Grab	B	3.500	4	NaN	19350	2.9	11520	11.52	23.14	7.06	NaN	0.58	0.01	0.89	0.89	0.17	0.057	0.021	2.7	NaN	NaN
RON	30/11/2009	11	2009	Grab	S	0.521	NaN	0.6	11720	129.3	6670	6.67	26.82	8.05	0.064	0.59	0.017	1.3	1.3	0.028	0.18	0.018	2.1	120	12
RON	30/11/2009	11	2009	Grab	B	4.000	4.5	NaN	20100	18.3	11970	11.97	25.69	7.23	NaN	0.47	0.012	0.77	0.78	0.023	0.12	0.022	2.4	NaN	NaN
RON	07/12/2009	12	2009	Grab	S	0.521	NaN	0.7	14200	80.7	12590	12.59	27.69	7.6	0.029	0.58	0.01	0.95	0.95	0.01	0.094	0.02	2.3	120	12
RON	07/12/2009	12	2009	Grab	B	3.500	4	NaN	21080	32.8	11270	11.27	27.41	7.29	NaN	0.53	0.01	0.86	0.87	0.14	0.1	0.032	2.8	NaN	NaN
RON	14/12/2009	12	2009	Grab	S	0.531	NaN	0.7	19220	111.6	11370	11.37	28.39	8	0.023	0.59	0.01	1	1	0.01	0.11	0.018	2.6	110	11
RON	14/12/2009	12	2009	Grab	B	4.000	4.5	NaN	27870	43.7	17090	17.09	27.51	7.56	NaN	0.54	0.01	0.93	0.94	0.016	0.14	0.029	2.8	NaN	NaN
RON	21/12/2009	12	2009	Grab	S	0.479	NaN	0.7	23940	110.5	14420	14.42	29.88	7.76	0.038	0.55	0.01	1.1	1.1	0.01	0.13	0.021	2.7	120	11
RON	21/12/2009	12	2009	Grab	B	3.500	4	NaN	32430	34.1	20180	20.18	27.52	7.32	NaN	0.51	0.01	0.95	0.96	0.01	0.14	0.04	2.7	NaN	NaN
RON	29/12/2009	12	2009	Grab	S	0.500	NaN	0.6	27760	69.1	17000	17	28.4	7.41	0.027	0.55	0.01	1.3	1.3	0.011	0.18	0.027	2	120	10
RON	29/12/2009	12	2009	Grab	B	4.000	4.5	NaN	34190	13	21390	21.39	28.27	7.2	NaN	0.51	0.01	1.2	1.2	0.01	0.19	0.03	2.1	NaN	NaN
KIN	15/12/2008	12	2008	Grab	S	0.563	NaN	0.7	13380	56.6	7690	7.69	26.97	7.23	0.012	0.63	0.01	0.86	0.87	0.017	0.07	0.007	2.5	110	27
KIN	15/12/2008	12	2008	Grab	B	4.400	4.9	NaN	18420	40.8	10870	10.87	27.2	7.19	NaN	0.63	0.01	0.85	0.86	0.018	0.1	0.005	2.6	NaN	NaN
KIN	22/12/2008	12	2008	Grab	S	0.537	NaN	0.7	13470	92.1	7760	7.76	25.33	7.7	0.04	0.64	0.01	1	1	0.01	0.1	0.007	2.7	110	15
KIN	22/12/2008	12	2008	Grab	B	4.500	4.9	NaN	17450	36	10260	10.26	25.62	7.32	NaN	0.6	0.01	0.98	0.98	0.01	0.12	0.005	2.9	NaN	NaN
KIN	29/12/2008	12	2008	Grab	S	0.501	NaN	0.5	14550	72.8	8400	8.4	28.35	7.35	0.047	0.8	0.01	1.2	1.2	0.01	0.12	0.007	3.2	120	12
KIN	29/12/2008	12	2008	Grab	B	4.500	5	NaN	19330	25.8	11450	11.45	27.26	7.05	NaN	0.72	0.01	0.96	0.96	0.034	0.11	0.009	3.3	NaN	NaN
KIN	05/01/2009	01	2009	Grab	S	0.516	NaN	0.6	21240	77	12660	12.66	29.66	7.85	0.027	0.68	0.01	0.95	0.95	0.01	0.086	0.012	3.6	120	12
