ID,wl,U,V,Sal,Temp,TRACE_1,x,y
95,0.81,0,0,20,18,0,393293.99805097,6462843.0256374
96,0.81,0,0,20,18,0,393310.28850534,6463011.1390962005
97,0.81,0,0,20,18,0,393370.49325551,6462250.774965099
98,0.81,0,0,20,18,0,393388.43640304,6462394.0007796
99,0.81,0,0,20,18,0,393406.37783908,6462537.2216537
100,0.81,0,0,20,18,0,393424.32003889,6462680.435628501
101,0.81,0,0,20,18,0,393442.2608037,6462823.6401867
102,0.81,0,0,20,18,0,393460.20047075,6462966.8381623
103,0.81,0,0,20,18,0,393533.1232537,6462276.1555317
104,0.81,0,0,20,18,0,393549.03810351,6462404.4392931
105,0.81,0,0,20,18,0,393564.95180847,6462532.7271836
106,0.81,0,0,20,18,0,393580.86487389,6462661.0142502
107,0.81,0,0,20,18,0,393596.78068452,6462789.3021274
108,0.81,0,0,20,18,0,393612.69417322,6462917.592253299
109,0.81,0,0,20,18,0,393685.34890188,6462271.019256201
110,0.81,0,0,20,18,0,393694.46364111,6462397.5085478
111,0.81,0,0,20,18,0,393704.3448669,6462515.1736374
112,0.81,0,0,20,18,0,393716.1857544,6462631.9074228
113,0.81,0,0,20,18,0,393727.42699143,6462751.0909733
114,0.81,0,0,20,18,0,393740.37820691,6462874.7937627
115,0.81,0,0,20,18,0,393855.06602995,6462271.4696994005
116,0.81,0,0,20,18,0,393859.34986363,6462400.2471644
117,0.81,0,0,20,18,0,393844.07805328,6462744.4451818
118,0.81,0,0,20,18,0,393847.48531611,6462853.1327591
119,0.81,0,0,20,18,0,394073.58847716,6462299.7946991
120,0.81,0,0,20,18,0,394056.4302414,6462428.585020599
121,0.81,0,0,20,18,0,393979.58979538,6462774.620862001
122,0.81,0,0,20,18,0,393973.81556378,6462855.7817275
123,0.81,0,0,20,18,0,394279.2959774,6462369.9330252
124,0.81,0,0,20,18,0,394246.06921031,6462495.5633429
125,0.81,0,0,20,18,0,394118.44737576,6462826.7818988
126,0.81,0,0,20,18,0,394099.55450158,6462891.457059
127,0.81,0,0,20,18,0,394470.36476669,6462473.8873915
128,0.81,0,0,20,18,0,394425.90278344,6462585.9324787
129,0.81,0,0,20,18,0,394245.29725043,6462895.5480193
130,0.81,0,0,20,18,0,394216.07469081,6462944.364424299
131,0.81,0,0,20,18,0,394647.77992179,6462602.5320997005
132,0.81,0,0,20,18,0,394595.67899779,6462696.464506299
133,0.81,0,0,20,18,0,394365.38556106,6462983.9799755
134,0.81,0,0,20,18,0,394327.46278608,6463014.7388480995
135,0.81,0,0,20,18,0,394821.71248393,6462743.5977534
136,0.81,0,0,20,18,0,394754.32404267,6462828.9597834
137,0.81,0,0,20,18,0,394478.49988672,6463083.4963944005
138,0.81,0,0,20,18,0,394424.00962469,6463106.621261
139,0.81,0,0,20,18,0,394975.05205625,6462897.2326861
140,0.81,0,0,20,18,0,394884.79140382,6462980.3505819
141,0.81,0,0,20,18,0,394586.13223328,6463183.4597848
142,0.81,0,0,20,18,0,394505.53495197,6463207.6495974995
143,0.81,0,0,20,18,0,395079.8008669,6463081.3490113
144,0.81,0,0,20,18,0,394934.28360181,6463155.1975558
145,0.81,0,0,20,18,0,394701.58823634,6463266.533586401
146,0.81,0,0,20,18,0,394582.72362788,6463307.6199296
147,0.81,0,0,20,18,0,395122.51627107,6463222.225185599
148,0.81,0,0,20,18,0,394946.88918879,6463281.1302587995
149,0.81,0,0,20,18,0,394784.6609252,6463339.1892751
150,0.81,0,0,20,18,0,394632.0648358,6463393.0320009
151,0.81,0,0,20,18,0,395129.19817127,6463365.7015129
152,0.81,0,0,20,18,0,394969.74929975,6463405.810828799
153,0.81,0,0,20,18,0,394810.359715,6463445.9054249
154,0.81,0,0,20,18,0,394651.059711,6463485.977545099
155,0.81,0,0,20,18,0,395086.20484241,6463542.5265575
156,0.81,0,0,20,18,0,394943.0291504,6463559.188335201
157,0.81,0,0,20,18,0,394799.88113346,6463575.846609999
158,0.81,0,0,20,18,0,394656.78080897,6463592.497016099
159,0.81,0,0,20,18,0,395007.16472709,6463707.502465401
160,0.81,0,0,20,18,0,394884.79341157,6463704.3738017995
161,0.81,0,0,20,18,0,394762.43848973,6463701.2476634
162,0.81,0,0,20,18,0,394640.11007327,6463698.1203665
163,0.81,0,0,20,18,0,394916.93192862,6463868.774119901
164,0.81,0,0,20,18,0,394814.63003516,6463846.726365901
165,0.81,0,0,20,18,0,394712.37339121,6463824.6910805
166,0.81,0,0,20,18,0,394610.18885401,6463802.6706967
167,0.81,0,0,20,18,0,394834.14294605,6464031.4679178
168,0.81,0,0,20,18,0,394743.09733491,6464002.608954
169,0.81,0,0,20,18,0,394652.05341249,6463973.7492608
170,0.81,0,0,20,18,0,394561.01103505,6463944.8934556
171,0.81,0,0,20,18,0,394756.36947006,6464193.604808
172,0.81,0,0,20,18,0,394671.07141455,6464171.3688097
173,0.81,0,0,20,18,0,394585.77761234,6464149.135072
174,0.81,0,0,20,18,0,394500.48694333,6464126.9038966
175,0.81,0,0,20,18,0,394677.34033282,6464355.1932549
176,0.81,0,0,20,18,0,394598.83233084,6464339.991117501
177,0.81,0,0,20,18,0,394520.32972051,6464324.7900242
178,0.81,0,0,20,18,0,394441.83186541,6464309.5916753
179,0.81,0,0,20,18,0,394602.86509275,6464518.7753424
180,0.81,0,0,20,18,0,394531.57339702,6464510.5033604
181,0.81,0,0,20,18,0,394460.28783622,6464502.234306599
182,0.81,0,0,20,18,0,394389.00838454,6464493.9701917
183,0.81,0,0,20,18,0,394550.67808857,6464692.706329499
184,0.81,0,0,20,18,0,394481.22736686,6464689.458762201
185,0.81,0,0,20,18,0,394411.7770997,6464686.213108099
186,0.81,0,0,20,18,0,394342.32640998,6464682.9698292995
187,0.81,0,0,20,18,0,394533.47773899,6464871.119812001
188,0.81,0,0,20,18,0,394460.76561834,6464871.425026401
189,0.81,0,0,20,18,0,394388.05370715,6464871.730274701
190,0.81,0,0,20,18,0,394315.34174843,6464872.0398585
191,0.81,0,0,20,18,0,394532.29010286,6465024.2473817
192,0.81,0,0,20,18,0,394458.68951968,6465028.7244755
193,0.81,0,0,20,18,0,394385.08889784,6465033.2015647
194,0.81,0,0,20,18,0,394311.48739476,6465037.6811982
195,0.81,0,0,20,18,0,394534.84300537,6465150.2317952
196,0.81,0,0,20,18,0,394464.10110778,6465159.2138137
197,0.81,0,0,20,18,0,394393.36012067,6465168.1955334
198,0.81,0,0,20,18,0,394322.6202416,6465177.177420599
199,0.81,0,0,20,18,0,394555.10478778,6465275.4157999
200,0.81,0,0,20,18,0,394486.70880076,6465289.0299015995
201,0.81,0,0,20,18,0,394418.31250637,6465302.6440645
202,0.81,0,0,20,18,0,394349.91593498,6465316.258282499
203,0.81,0,0,20,18,0,394583.46153069,6465393.9616577
204,0.81,0,0,20,18,0,394520.42109828,6465417.249706401
205,0.81,0,0,20,18,0,394457.37115582,6465440.5420805
206,0.81,0,0,20,18,0,394394.31547059,6465463.8384667
207,0.81,0,0,20,18,0,394619.84156604,6465504.757232799
208,0.81,0,0,20,18,0,394570.98161632,6465540.247229599
209,0.81,0,0,20,18,0,394522.13374684,6465575.7304166
210,0.81,0,0,20,18,0,394473.29342243,6465611.2085461
211,0.81,0,0,20,18,0,394689.85092858,6465600.821719
212,0.81,0,0,20,18,0,394651.69200888,6465650.9340908
213,0.81,0,0,20,18,0,394613.54204414,6465701.0303273
214,0.81,0,0,20,18,0,394575.40240751,6465751.1216124
215,0.81,0,0,20,18,0,394782.06169391,6465672.0205232
216,0.81,0,0,20,18,0,394751.04447412,6465739.552144799
217,0.81,0,0,20,18,0,394720.02469297,6465807.090489499
218,0.81,0,0,20,18,0,394688.99989385,6465874.6325693
219,0.81,0,0,20,18,0,394891.24852652,6465710.5643011
220,0.81,0,0,20,18,0,394870.38223244,6465796.0810228
221,0.81,0,0,20,18,0,394849.52477784,6465881.5604234
222,0.81,0,0,20,18,0,394828.67395474,6465967.0126465
223,0.81,0,0,20,18,0,395006.47606493,6465711.5790208
224,0.81,0,0,20,18,0,394999.2871342,6465805.9989396
225,0.81,0,0,20,18,0,394992.09671156,6465900.4538293
226,0.81,0,0,20,18,0,394984.90188299,6465994.931691901
227,0.81,0,0,20,18,0,395124.76752825,6465694.208511099
228,0.81,0,0,20,18,0,395134.83818093,6465788.1117466
229,0.81,0,0,20,18,0,395144.90983497,6465882.0508325
230,0.81,0,0,20,18,0,395154.98660278,6465976.010178501
231,0.81,0,0,20,18,0,395233.95995373,6465653.3283856
232,0.81,0,0,20,18,0,395258.13747276,6465740.2337237
233,0.81,0,0,20,18,0,395282.31932832,6465827.1488409005
234,0.81,0,0,20,18,0,395306.50497166,6465914.0736695
235,0.81,0,0,20,18,0,395336.48262816,6465592.916377099
236,0.81,0,0,20,18,0,395370.73149684,6465664.303256599
237,0.81,0,0,20,18,0,395404.98068927,6465735.691483799
238,0.81,0,0,20,18,0,395439.23020847,6465807.085478599
239,0.81,0,0,20,18,0,395428.77302712,6465516.2201431
240,0.81,0,0,20,18,0,395476.40519288,6465575.8910278
241,0.81,0,0,20,18,0,395524.04528041,6465635.572313201
242,0.81,0,0,20,18,0,395571.69116874,6465695.2607406
243,0.81,0,0,20,18,0,395506.71245046,6465420.3560653
244,0.81,0,0,20,18,0,395570.08618088,6465474.647687901
245,0.81,0,0,20,18,0,395633.45911495,6465528.9399212
246,0.81,0,0,20,18,0,395696.83018082,6465583.2331507
247,0.81,0,0,20,18,0,395569.74977452,6465309.734118599
248,0.81,0,0,20,18,0,395646.49695357,6465358.2119929
249,0.81,0,0,20,18,0,395723.24491625,6465406.693397401
250,0.81,0,0,20,18,0,395799.99321763,6465455.1752504995
251,0.81,0,0,20,18,0,395600.75800338,6465187.4898501
252,0.81,0,0,20,18,0,395686.65965288,6465227.2281039
253,0.81,0,0,20,18,0,395772.56724305,6465266.968812699
254,0.81,0,0,20,18,0,395858.48083459,6465306.7177836
255,0.81,0,0,20,18,0,395602.4938966,6465063.0922509
256,0.81,0,0,20,18,0,395683.37376221,6465093.4054102
257,0.81,0,0,20,18,0,395764.24223258,6465123.7116309
258,0.81,0,0,20,18,0,395845.09846902,6465154.0191657
259,0.81,0,0,20,18,0,395592.41603224,6464935.864742801
260,0.81,0,0,20,18,0,395657.5289526,6464956.8365284
261,0.81,0,0,20,18,0,395722.62421641,6464977.7967018
262,0.81,0,0,20,18,0,395787.70211938,6464998.754053599
263,0.81,0,0,20,18,0,395587.81594316,6464807.9761156
264,0.81,0,0,20,18,0,395639.2230002,6464818.7122702
265,0.81,0,0,20,18,0,395690.6067064,6464829.441570099
266,0.81,0,0,20,18,0,395741.97192069,6464840.1660335995
267,0.81,0,0,20,18,0,395608.4731698,6464658.1846341
268,0.81,0,0,20,18,0,395652.32823522,6464669.970146701
269,0.81,0,0,20,18,0,395696.1789024,6464681.755213
270,0.81,0,0,20,18,0,395740.02340142,6464693.5364492005
271,0.81,0,0,20,18,0,395666.85103069,6464495.9010303
272,0.81,0,0,20,18,0,395708.57057959,6464521.495928501
273,0.81,0,0,20,18,0,395750.2930681,6464547.092521201
274,0.81,0,0,20,18,0,395792.02007692,6464572.6876719
275,0.81,0,0,20,18,0,395761.0638115,6464353.9564579
276,0.81,0,0,20,18,0,395799.39162259,6464393.7062745
277,0.81,0,0,20,18,0,395837.72089591,6464433.458261901
278,0.81,0,0,20,18,0,395876.05254438,6464473.212592401
279,0.81,0,0,20,18,0,395892.99467563,6464250.200458401
280,0.81,0,0,20,18,0,395923.27875901,6464300.4291992
281,0.81,0,0,20,18,0,395953.56750935,6464350.649405099
282,0.81,0,0,20,18,0,395983.84771164,6464400.869765401
283,0.81,0,0,20,18,0,396050.76363831,6464188.723795599
284,0.81,0,0,20,18,0,396068.82494228,6464242.4871319
285,0.81,0,0,20,18,0,396086.88161516,6464296.2502296
286,0.81,0,0,20,18,0,396104.9396053,6464350.0132836
287,0.81,0,0,20,18,0,396221.33405043,6464164.1460031
288,0.81,0,0,20,18,0,396225.8986701,6464217.8679112
289,0.81,0,0,20,18,0,396230.46284574,6464271.5847546
290,0.81,0,0,20,18,0,396235.02673553,6464325.295062
291,0.81,0,0,20,18,0,396406.3038089,6464176.227358799
292,0.81,0,0,20,18,0,396402.66140775,6464229.2698973
293,0.81,0,0,20,18,0,396399.02519093,6464282.3133183
294,0.81,0,0,20,18,0,396395.38297189,6464335.355902599
295,0.81,0,0,20,18,0,396602.58730546,6464208.1177825
296,0.81,0,0,20,18,0,396595.93838182,6464258.8624278
297,0.81,0,0,20,18,0,396589.28656034,6464309.6044525
298,0.81,0,0,20,18,0,396582.64350674,6464360.3507106
299,0.81,0,0,20,18,0,396795.79571564,6464249.1817745
300,0.81,0,0,20,18,0,396786.73781693,6464294.682961401
301,0.81,0,0,20,18,0,396777.67624672,6464340.183675701
302,0.81,0,0,20,18,0,396768.61114526,6464385.6895584995
303,0.81,0,0,20,18,0,396985.76009774,6464301.5081846
304,0.81,0,0,20,18,0,396975.15384464,6464337.8873564005
305,0.81,0,0,20,18,0,396964.53527874,6464374.273822701
306,0.81,0,0,20,18,0,396953.91878638,6464410.6693835
307,0.81,0,0,20,18,0,397175.66451536,6464366.576353
308,0.81,0,0,20,18,0,397163.68579838,6464394.3233922
309,0.81,0,0,20,18,0,397151.71544718,6464422.0764362
310,0.81,0,0,20,18,0,397139.73369943,6464449.8237697
311,0.81,0,0,20,18,0,397362.95442162,6464445.4673909005
312,0.81,0,0,20,18,0,397348.09108498,6464470.5147889005
313,0.81,0,0,20,18,0,397333.22320212,6464495.557807701
314,0.81,0,0,20,18,0,397318.36855699,6464520.6056905
315,0.81,0,0,20,18,0,397487.15386553,6464516.5485032005
316,0.81,0,0,20,18,0,397465.24873828,6464539.4928384
317,0.81,0,0,20,18,0,397443.34547453,6464562.4309015
318,0.81,0,0,20,18,0,397421.44573778,6464585.3640237
319,0.81,0,0,20,18,0,397554.9676062,6464576.522340599
320,0.81,0,0,20,18,0,397523.01200138,6464594.6724604005
321,0.81,0,0,20,18,0,397491.06117402,6464612.826873099
322,0.81,0,0,20,18,0,397459.11257909,6464630.974773599
323,0.81,0,0,20,18,0,397621.21397273,6464637.867109099
324,0.81,0,0,20,18,0,397579.63842689,6464650.8076544
325,0.81,0,0,20,18,0,397538.06856146,6464663.749223099
326,0.81,0,0,20,18,0,397496.50823267,6464676.6896618
327,0.81,0,0,20,18,0,397682.36570619,6464704.6040532
328,0.81,0,0,20,18,0,397630.35117249,6464711.9243814
329,0.81,0,0,20,18,0,397578.33036422,6464719.2490589
330,0.81,0,0,20,18,0,397526.30131856,6464726.5721043
331,0.81,0,0,20,18,0,397715.34615809,6464782.9141713
332,0.81,0,0,20,18,0,397656.54168138,6464782.5097493
333,0.81,0,0,20,18,0,397597.75736251,6464782.1026058
334,0.81,0,0,20,18,0,397538.99935868,6464781.6936072
335,0.81,0,0,20,18,0,397717.61451751,6464872.0391549
336,0.81,0,0,20,18,0,397657.40148282,6464861.5166282
337,0.81,0,0,20,18,0,397597.20945445,6464850.9927381
338,0.81,0,0,20,18,0,397537.04899801,6464840.474116
339,0.81,0,0,20,18,0,397670.63954895,6464961.9926304
340,0.81,0,0,20,18,0,397615.45015258,6464946.0262574
341,0.81,0,0,20,18,0,397705.30149371,6465001.800220099
342,0.81,0,0,20,18,0,397560.25509059,6464930.0523869
343,0.81,0,0,20,18,0,397505.05209989,6464914.0800785
344,0.81,0,0,20,18,0,397580.17574052,6465054.4006311
345,0.81,0,0,20,18,0,397535.2835618,6465037.587218599
346,0.81,0,0,20,18,0,397621.65271192,6465082.794417299
347,0.81,0,0,20,18,0,397490.38624515,6465020.7713962
348,0.81,0,0,20,18,0,397731.23668015,6465066.073370599
349,0.81,0,0,20,18,0,397666.53830728,6465123.9385287
350,0.81,0,0,20,18,0,397445.48308562,6465003.9549903
351,0.81,0,0,20,18,0,397492.78831173,6465145.2476999
352,0.81,0,0,20,18,0,397454.18189485,6465127.0832943
353,0.81,0,0,20,18,0,397415.5737721,6465108.9214418
354,0.81,0,0,20,18,0,397376.96567077,6465090.7596057
355,0.81,0,0,20,18,0,397762.67133333,6465118.3233333
356,0.81,0,0,20,18,0,397721.73702508,6465165.3052614005
357,0.81,0,0,20,18,0,397408.29819839,6465231.182335299
358,0.81,0,0,20,18,0,397372.73806106,6465211.775896
359,0.81,0,0,20,18,0,397337.17880798,6465192.370470599
360,0.81,0,0,20,18,0,397301.61833696,6465172.9639397
361,0.81,0,0,20,18,0,397766.24224159,6465209.7712376
362,0.81,0,0,20,18,0,397324.37499442,6465318.114993
363,0.81,0,0,20,18,0,397291.48760839,6465297.1560869
364,0.81,0,0,20,18,0,397258.59967403,6465276.2008296
365,0.81,0,0,20,18,0,397225.71371684,6465255.243063
366,0.81,0,0,20,18,0,397791.0669407,6465267.0619615
367,0.81,0,0,20,18,0,397242.2758971,6465405.6185267
368,0.81,0,0,20,18,0,397211.89081542,6465383.0572565
369,0.81,0,0,20,18,0,397181.50509863,6465360.4964424
370,0.81,0,0,20,18,0,397151.11959912,6465337.935329
371,0.81,0,0,20,18,0,397805.29615416,6465317.9433129
372,0.81,0,0,20,18,0,397151.09404521,6465477.3899597
373,0.81,0,0,20,18,0,397123.16989432,6465454.6260729
374,0.81,0,0,20,18,0,397095.24183154,6465431.8649408
375,0.81,0,0,20,18,0,397067.31724195,6465409.1008532
376,0.81,0,0,20,18,0,397811.6060615,6465369.2748781
377,0.81,0,0,20,18,0,397052.22652791,6465526.403016
378,0.81,0,0,20,18,0,397028.37004709,6465508.2468785
379,0.81,0,0,20,18,0,397004.53787105,6465490.1033737
380,0.81,0,0,20,18,0,396980.72025535,6465471.9765333
381,0.81,0,0,20,18,0,397809.03595525,6465421.096444099
382,0.81,0,0,20,18,0,396955.42997845,6465589.894741599
383,0.81,0,0,20,18,0,396935.66689491,6465576.1851605
384,0.81,0,0,20,18,0,396915.90006389,6465562.4797681
385,0.81,0,0,20,18,0,396896.1369341,6465548.7702205
386,0.81,0,0,20,18,0,397781.69059823,6465476.2406665
387,0.81,0,0,20,18,0,396892.1221995,6465666.1059565
388,0.81,0,0,20,18,0,396871.97146787,6465654.8295599995
389,0.81,0,0,20,18,0,396851.82144734,6465643.549066001
390,0.81,0,0,20,18,0,396831.67204005,6465632.2682548
391,0.81,0,0,20,18,0,397732.23502827,6465531.069478
392,0.81,0,0,20,18,0,396856.66495203,6465744.6381104
393,0.81,0,0,20,18,0,396833.04102354,6465737.7540448
394,0.81,0,0,20,18,0,396809.42174379,6465730.867988599
395,0.81,0,0,20,18,0,396785.806463,6465723.9873378
396,0.81,0,0,20,18,0,397677.2289507,6465578.011676099
397,0.81,0,0,20,18,0,396847.29079464,6465827.7692255
398,0.81,0,0,20,18,0,396819.80826998,6465825.3255381
399,0.81,0,0,20,18,0,396792.32671338,6465822.8821002
400,0.81,0,0,20,18,0,396764.84730489,6465820.441107499
401,0.81,0,0,20,18,0,397617.34792341,6465618.308888201
402,0.81,0,0,20,18,0,396859.85004938,6465910.985708401
403,0.81,0,0,20,18,0,396829.83103787,6465914.3499432
404,0.81,0,0,20,18,0,396799.81654041,6465917.712143
405,0.81,0,0,20,18,0,396769.80449057,6465921.0729194
406,0.81,0,0,20,18,0,397566.39186761,6465674.0548703
407,0.81,0,0,20,18,0,396902.39105222,6466010.2525673
408,0.81,0,0,20,18,0,396869.67474673,6466021.6980068
409,0.81,0,0,20,18,0,396836.96969827,6466033.138728799
410,0.81,0,0,20,18,0,396804.27470809,6466044.5754247
411,0.81,0,0,20,18,0,397523.0367466,6465742.847854099
412,0.81,0,0,20,18,0,396967.16067267,6466122.017529701
413,0.81,0,0,20,18,0,396934.50119784,6466142.2147327
414,0.81,0,0,20,18,0,396901.84204753,6466162.412858999
415,0.81,0,0,20,18,0,396869.18144663,6466182.606936701
416,0.81,0,0,20,18,0,397475.54854546,6465797.561709099
417,0.81,0,0,20,18,0,397030.72913115,6466203.4946711
418,0.81,0,0,20,18,0,396999.78376158,6466230.4999533
419,0.81,0,0,20,18,0,396968.84035426,6466257.5041265
420,0.81,0,0,20,18,0,396937.89766935,6466284.5021694
421,0.81,0,0,20,18,0,397424.53487031,6465844.8267375
422,0.81,0,0,20,18,0,397095.07066192,6466248.3612443
423,0.81,0,0,20,18,0,397064.59881174,6466282.297262
424,0.81,0,0,20,18,0,397034.13399937,6466316.2256992
425,0.81,0,0,20,18,0,397003.67409007,6466350.147635
426,0.81,0,0,20,18,0,397372.89007049,6465890.2394916
427,0.81,0,0,20,18,0,397159.29176645,6466285.9561174
428,0.81,0,0,20,18,0,397129.52970781,6466324.2896943
429,0.81,0,0,20,18,0,397184.65975689,6466237.5591362
430,0.81,0,0,20,18,0,397099.76899623,6466362.6250273
431,0.81,0,0,20,18,0,397070.00491303,6466400.9569900995
432,0.81,0,0,20,18,0,397324.40281675,6465938.2174026
433,0.81,0,0,20,18,0,397238.26481101,6466332.222453799
434,0.81,0,0,20,18,0,397211.33565489,6466371.406953501
435,0.81,0,0,20,18,0,397184.40445454,6466410.593026401
436,0.81,0,0,20,18,0,397203.06401838,6466171.756417201
437,0.81,0,0,20,18,0,397157.47632942,6466449.781111099
438,0.81,0,0,20,18,0,397278.87142883,6465989.4074882995
439,0.81,0,0,20,18,0,397338.74892618,6466382.6099576
440,0.81,0,0,20,18,0,397315.8136928,6466423.412958
441,0.81,0,0,20,18,0,397292.88101163,6466464.2180637
442,0.81,0,0,20,18,0,397269.94694508,6466505.025007
443,0.81,0,0,20,18,0,397216.38591888,6466106.292093401
444,0.81,0,0,20,18,0,397239.39818109,6466045.0236512
445,0.81,0,0,20,18,0,397441.61010365,6466426.3646142995
446,0.81,0,0,20,18,0,397422.37416956,6466469.302988299
447,0.81,0,0,20,18,0,397403.13305508,6466512.236712099
448,0.81,0,0,20,18,0,397383.89694656,6466555.1758208005
449,0.81,0,0,20,18,0,397554.2072943,6466468.4670427
