ISOTime,Flow,Sal,Temp,TRACE_1,AGE,SS1,SS2,Oxy,Sil,Amm,Nit,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,DOCR,DONR,DOPR,CPOM,GRN,BGA,CRYPT,DIATOM,DINO,DINO_IN
13/05/2017 00:00:00,0.000000,0.375791,14.811913,1.000000,0.000000,17.187952,1.909772,192.665007,97.805277,2.699507,24.228813,0.763812,0.076381,66.666667,225.333333,8.357143,20.228846,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.168587,0.112391,0.112391,0.168587,0.561955,0.084823
14/05/2017 00:00:00,0.000000,0.375651,14.801008,1.000000,0.000000,17.268311,1.918701,192.977567,98.569034,2.696445,24.258356,0.766116,0.076612,66.666667,225.333333,8.357143,20.205049,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.154637,0.103091,0.103091,0.154637,0.515455,0.077805
15/05/2017 00:00:00,0.000000,0.375511,14.790104,1.000000,0.000000,17.348669,1.927630,193.290127,99.332791,2.693384,24.287900,0.768421,0.076842,66.666667,225.333333,8.357143,20.181252,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.140687,0.093791,0.093791,0.140687,0.468955,0.070786
16/05/2017 00:00:00,0.000000,0.375370,14.779199,1.000000,0.000000,17.429027,1.936559,193.602687,98.438813,2.690323,24.317444,0.770725,0.077072,66.666667,225.333333,8.357143,20.157455,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.135000,0.090000,0.090000,0.135000,0.450000,0.067925
17/05/2017 00:00:00,0.000000,0.375230,14.768295,1.000000,0.000000,17.509386,1.945487,193.915247,96.404048,2.687262,24.346988,0.773029,0.077303,66.666667,225.333333,8.357143,20.133659,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.135000,0.090000,0.090000,0.135000,0.450000,0.067925
18/05/2017 00:00:00,0.000000,0.375089,14.757391,1.000000,0.000000,17.589744,1.954416,194.227807,94.369283,2.684200,24.376532,0.775333,0.077533,66.666667,225.333333,8.357143,20.109862,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.135000,0.090000,0.090000,0.135000,0.450000,0.067925
19/05/2017 00:00:00,0.000000,0.374949,14.746486,1.000000,0.000000,17.670102,1.963345,194.540367,92.334518,2.681139,24.406075,0.777637,0.077764,66.666667,225.333333,8.357143,20.086065,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.135000,0.090000,0.090000,0.135000,0.450000,0.067925
20/05/2017 00:00:00,0.000000,0.374809,14.735582,1.000000,0.000000,17.750461,1.972273,194.852927,90.299753,2.678078,24.435619,0.779942,0.077994,66.666667,225.333333,8.357143,20.062269,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.135000,0.090000,0.090000,0.135000,0.450000,0.067925
21/05/2017 00:00:00,0.000000,0.374668,14.724678,1.000000,0.000000,17.830819,1.981202,195.165488,88.264989,2.675016,24.465163,0.782246,0.078225,66.666667,225.333333,8.357143,20.038472,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.135000,0.090000,0.090000,0.135000,0.450000,0.067925
22/05/2017 00:00:00,0.000000,0.374528,14.713773,1.000000,0.000000,17.911177,1.990131,195.478048,86.230224,2.671955,24.494707,0.784550,0.078455,66.666667,225.333333,8.357143,20.014675,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.135000,0.090000,0.090000,0.135000,0.450000,0.067925
23/05/2017 00:00:00,0.000000,0.374388,14.702869,1.000000,0.000000,17.991536,1.999060,195.790608,84.195459,2.668894,24.524250,0.786854,0.078685,66.666667,225.333333,8.357143,19.990879,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.135000,0.090000,0.090000,0.135000,0.450000,0.067925
24/05/2017 00:00:00,0.000000,0.374247,14.691965,1.000000,0.000000,18.071894,2.007988,196.103168,82.160694,2.665833,24.553794,0.789158,0.078916,66.666667,225.333333,8.357143,19.967082,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.135000,0.090000,0.090000,0.135000,0.450000,0.067925
25/05/2017 00:00:00,0.000000,0.374107,14.681060,1.000000,0.000000,18.152252,2.016917,196.415728,80.125929,2.662771,24.583338,0.791462,0.079146,66.666667,225.333333,8.357143,19.943285,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.135000,0.090000,0.090000,0.135000,0.450000,0.067925
26/05/2017 00:00:00,0.000000,0.373967,14.670156,1.000000,0.000000,18.232611,2.025846,196.728288,78.091165,2.659710,24.612882,0.793767,0.079377,66.666667,225.333333,8.357143,19.919488,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.135000,0.090000,0.090000,0.135000,0.450000,0.067925
27/05/2017 00:00:00,0.000000,0.373826,14.659252,1.000000,0.000000,18.312969,2.034774,197.040848,76.056400,2.656649,24.642425,0.796071,0.079607,66.666667,225.333333,8.357143,19.895692,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.135000,0.090000,0.090000,0.135000,0.450000,0.067925
28/05/2017 00:00:00,0.000000,0.373686,14.648347,1.000000,0.000000,18.393327,2.043703,197.353408,74.021635,2.653588,24.671969,0.798375,0.079837,66.666667,225.333333,8.357143,19.871895,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.135000,0.090000,0.090000,0.135000,0.450000,0.067925
29/05/2017 00:00:00,0.000000,0.373546,14.637443,1.000000,0.000000,18.473686,2.052632,197.665968,71.986870,2.650526,24.701513,0.800679,0.080068,66.666667,225.333333,8.357143,19.848098,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.135000,0.090000,0.090000,0.135000,0.450000,0.067925
30/05/2017 00:00:00,0.000000,0.373405,14.626539,1.000000,0.000000,18.554044,2.061560,197.978528,70.716457,2.647465,24.731057,0.802983,0.080298,66.666667,225.333333,8.357143,19.824302,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.146581,0.097721,0.097721,0.146581,0.488603,0.073751
31/05/2017 00:00:00,0.000000,0.373265,14.615634,1.000000,0.000000,18.634402,2.070489,198.291088,69.954139,2.644404,24.760600,0.805288,0.080529,66.666667,225.333333,8.357143,19.800505,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.165860,0.110573,0.110573,0.165860,0.552866,0.083451
01/06/2017 00:00:00,0.000000,0.373125,14.604730,1.000000,0.000000,18.714761,2.079418,198.603648,69.191821,2.641342,24.790144,0.807592,0.080759,66.666667,225.333333,8.357143,19.776708,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.185139,0.123426,0.123426,0.185139,0.617129,0.093152
02/06/2017 00:00:00,0.000000,0.372984,14.593826,1.000000,0.000000,18.795119,2.088347,198.916209,68.429503,2.638281,24.819688,0.809896,0.080990,66.666667,225.333333,8.357143,19.752912,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.204418,0.136279,0.136279,0.204418,0.681393,0.102852
03/06/2017 00:00:00,0.000000,0.372844,14.582921,1.000000,0.000000,18.875477,2.097275,199.228769,67.667185,2.635220,24.849232,0.812200,0.081220,66.666667,225.333333,8.357143,19.729115,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.223697,0.149131,0.149131,0.223697,0.745656,0.112552
04/06/2017 00:00:00,0.000000,0.372703,14.572017,1.000000,0.000000,18.955836,2.106204,199.541329,66.904867,2.632159,24.878775,0.814504,0.081450,66.666667,225.333333,8.357143,19.705318,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.242976,0.161984,0.161984,0.242976,0.809920,0.122252
05/06/2017 00:00:00,0.000000,0.372563,14.561112,1.000000,0.000000,19.036194,2.115133,199.853889,66.142550,2.629097,24.908319,0.816808,0.081681,66.666667,225.333333,8.357143,19.681522,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.262255,0.174837,0.174837,0.262255,0.874183,0.131952
06/06/2017 00:00:00,0.000000,0.372423,14.550208,1.000000,0.000000,19.116552,2.124061,200.166449,65.380232,2.626036,24.937863,0.819113,0.081911,66.666667,225.333333,8.357143,19.657725,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.281534,0.187689,0.187689,0.281534,0.938446,0.141652
07/06/2017 00:00:00,0.000000,0.372282,14.539304,1.000000,0.000000,19.196911,2.132990,200.479009,64.617914,2.622975,24.967407,0.821417,0.082142,66.666667,225.333333,8.357143,19.633928,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.300813,0.200542,0.200542,0.300813,1.002710,0.151352
08/06/2017 00:00:00,0.000000,0.372142,14.528399,1.000000,0.000000,19.277269,2.141919,200.791569,63.855596,2.619914,24.996951,0.823721,0.082372,66.666667,225.333333,8.357143,19.610131,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.320092,0.213395,0.213395,0.320092,1.066973,0.161053
09/06/2017 00:00:00,0.000000,0.372002,14.517495,1.000000,0.000000,19.357627,2.150847,201.104129,63.093278,2.616852,25.026494,0.826025,0.082603,66.666667,225.333333,8.357143,19.586335,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.339371,0.226247,0.226247,0.339371,1.131237,0.170753
10/06/2017 00:00:00,0.000000,0.371861,14.506591,1.000000,0.000000,19.437986,2.159776,201.416689,62.330960,2.613791,25.056038,0.828329,0.082833,66.666667,225.333333,8.357143,19.562538,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.358650,0.239100,0.239100,0.358650,1.195500,0.180453
11/06/2017 00:00:00,0.000000,0.371721,14.495686,1.000000,0.000000,19.518344,2.168705,201.729249,61.568642,2.610730,25.085582,0.830634,0.083063,66.666667,225.333333,8.357143,19.538741,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.377929,0.251953,0.251953,0.377929,1.259763,0.190153
12/06/2017 00:00:00,0.000000,0.371581,14.484782,1.000000,0.000000,19.598702,2.177634,202.041809,60.806324,2.607668,25.115126,0.832938,0.083294,66.666667,225.333333,8.357143,19.514945,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.397208,0.264805,0.264805,0.397208,1.324027,0.199853
13/06/2017 00:00:00,0.000000,0.371440,14.473878,1.000000,0.000000,19.679061,2.186562,202.354369,60.346658,2.604607,25.144669,0.835242,0.083524,66.666667,225.333333,8.357143,19.491148,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.400216,0.266811,0.266811,0.400216,1.334054,0.201367
14/06/2017 00:00:00,0.000000,0.371300,14.462973,1.000000,0.000000,19.759419,2.195491,202.666930,60.092287,2.601546,25.174213,0.837546,0.083755,66.666667,225.333333,8.357143,19.467351,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.392187,0.261458,0.261458,0.392187,1.307292,0.197327
15/06/2017 00:00:00,0.000000,0.371160,14.452069,1.000000,0.000000,19.839777,2.204420,202.979490,59.837916,2.598485,25.203757,0.839850,0.083985,66.666667,225.333333,8.357143,19.443555,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.384159,0.256106,0.256106,0.384159,1.280529,0.193287
