id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
         196,  0.3931663E+06,  0.6462120E+07,    13.590,    19.891
         197,  0.3931806E+06,  0.6462302E+07,    14.236,    20.686
         198,  0.3932391E+06,  0.6462255E+07,    15.751,    22.678
         199,  0.3932228E+06,  0.6462087E+07,    14.466,    21.003
         200,  0.3931949E+06,  0.6462485E+07,    15.235,    22.033
         201,  0.3932553E+06,  0.6462423E+07,    17.746,    25.474
         202,  0.3932092E+06,  0.6462667E+07,    16.048,    23.353
         203,  0.3932716E+06,  0.6462591E+07,    19.413,    27.996
         204,  0.3932235E+06,  0.6462849E+07,    16.562,    24.086
         205,  0.3932878E+06,  0.6462758E+07,    20.271,    29.259
         206,  0.3932379E+06,  0.6463031E+07,    17.261,    24.897
         207,  0.3933041E+06,  0.6462926E+07,    20.216,    28.994
         208,  0.3933203E+06,  0.6463094E+07,    19.572,    27.970
         209,  0.3932956E+06,  0.6462222E+07,    15.636,    22.249
         210,  0.3933138E+06,  0.6462375E+07,    16.350,    23.064
         211,  0.3933814E+06,  0.6462323E+07,    15.671,    21.899
         212,  0.3933635E+06,  0.6462180E+07,    14.995,    21.116
         213,  0.3933320E+06,  0.6462529E+07,    16.902,    23.704
         214,  0.3933993E+06,  0.6462466E+07,    16.382,    22.776
         215,  0.3933502E+06,  0.6462682E+07,    17.166,    24.169
         216,  0.3934172E+06,  0.6462609E+07,    16.933,    23.587
         217,  0.3933684E+06,  0.6462836E+07,    17.093,    24.027
         218,  0.3934351E+06,  0.6462752E+07,    17.140,    23.867
         219,  0.3933866E+06,  0.6462989E+07,    17.273,    24.120
         220,  0.3934530E+06,  0.6462895E+07,    16.987,    23.553
         221,  0.3934709E+06,  0.6463038E+07,    16.593,    22.973
         222,  0.3934493E+06,  0.6462281E+07,    18.351,    25.504
         223,  0.3934669E+06,  0.6462413E+07,    18.417,    25.351
         224,  0.3935420E+06,  0.6462340E+07,    15.107,    20.669
         225,  0.3935261E+06,  0.6462212E+07,    15.146,    20.866
         226,  0.3934845E+06,  0.6462546E+07,    18.800,    25.675
         227,  0.3935580E+06,  0.6462469E+07,    15.009,    20.383
         228,  0.3935021E+06,  0.6462678E+07,    18.529,    25.329
         229,  0.3935739E+06,  0.6462597E+07,    14.944,    20.276
         230,  0.3935198E+06,  0.6462811E+07,    17.929,    24.495
         231,  0.3935898E+06,  0.6462725E+07,    14.837,    20.108
         232,  0.3935374E+06,  0.6462943E+07,    17.691,    24.106
         233,  0.3936057E+06,  0.6462853E+07,    14.705,    19.907
         234,  0.3936216E+06,  0.6462982E+07,    14.767,    20.016
         235,  0.3936189E+06,  0.6462272E+07,    15.995,    21.897
         236,  0.3936331E+06,  0.6462396E+07,    13.476,    18.270
         237,  0.3936903E+06,  0.6462338E+07,    13.274,    17.926
         238,  0.3936772E+06,  0.6462204E+07,    15.496,    21.057
         239,  0.3936473E+06,  0.6462520E+07,    12.611,    16.954
         240,  0.3937002E+06,  0.6462458E+07,    13.000,    17.430
         241,  0.3936615E+06,  0.6462644E+07,    12.473,    16.739
         242,  0.3937116E+06,  0.6462573E+07,    13.336,    17.833
         243,  0.3936757E+06,  0.6462768E+07,    11.735,    15.731
         244,  0.3937226E+06,  0.6462692E+07,    13.239,    17.667
         245,  0.3936899E+06,  0.6462892E+07,    12.110,    16.236
         246,  0.3937338E+06,  0.6462811E+07,    13.612,    18.131
         247,  0.3937460E+06,  0.6462940E+07,    14.945,    19.979
         248,  0.3937486E+06,  0.6462271E+07,    13.610,    18.475
         249,  0.3937575E+06,  0.6462401E+07,    14.448,    19.451
         250,  0.3938583E+06,  0.6462340E+07,    13.483,    18.127
         251,  0.3938563E+06,  0.6462205E+07,    15.005,    20.240
         252,  0.3937646E+06,  0.6462511E+07,    14.721,    19.753
         253,  0.3938570E+06,  0.6462461E+07,    14.413,    19.317
         254,  0.3937728E+06,  0.6462621E+07,    13.585,    18.170
         255,  0.3937808E+06,  0.6462735E+07,    12.498,    16.555
         256,  0.3938442E+06,  0.6462694E+07,    10.983,    14.510
         257,  0.3937900E+06,  0.6462859E+07,    11.135,    14.764
         258,  0.3938487E+06,  0.6462797E+07,    11.946,    15.791
         259,  0.3938541E+06,  0.6462910E+07,    12.868,    17.054
         260,  0.3939660E+06,  0.6462274E+07,    24.968,    33.779
         261,  0.3939578E+06,  0.6462401E+07,    21.282,    28.639
         262,  0.3940639E+06,  0.6462365E+07,    14.256,    19.177
         263,  0.3940810E+06,  0.6462236E+07,    14.382,    19.377
         264,  0.3940467E+06,  0.6462494E+07,    15.427,    20.722
         265,  0.3939121E+06,  0.6462756E+07,    13.812,    18.150
         266,  0.3939128E+06,  0.6462847E+07,    12.498,    16.430
         267,  0.3939792E+06,  0.6462816E+07,     8.487,    11.120
         268,  0.3939850E+06,  0.6462736E+07,     8.307,    10.874
         269,  0.3939735E+06,  0.6462897E+07,     9.616,    12.611
         270,  0.3941789E+06,  0.6462327E+07,    23.818,    32.254
         271,  0.3941528E+06,  0.6462457E+07,    22.000,    29.705
         272,  0.3942629E+06,  0.6462434E+07,    14.317,    19.312
         273,  0.3942961E+06,  0.6462308E+07,    14.332,    19.343
         274,  0.3942296E+06,  0.6462559E+07,    15.544,    20.960
         275,  0.3940521E+06,  0.6462797E+07,    14.785,    19.203
         276,  0.3940400E+06,  0.6462866E+07,    13.241,    17.187
         277,  0.3941094E+06,  0.6462860E+07,     6.837,     8.772
         278,  0.3941283E+06,  0.6462795E+07,     6.851,     8.788
         279,  0.3940905E+06,  0.6462925E+07,     7.756,     9.953
         280,  0.3943800E+06,  0.6462415E+07,    22.709,    30.731
         281,  0.3943397E+06,  0.6462536E+07,    21.232,    28.677
         282,  0.3944492E+06,  0.6462531E+07,    13.188,    17.705
         283,  0.3944937E+06,  0.6462419E+07,    13.089,    17.579
         284,  0.3944048E+06,  0.6462643E+07,    14.280,    19.171
         285,  0.3941856E+06,  0.6462859E+07,    13.154,    16.727
         286,  0.3941600E+06,  0.6462918E+07,    11.647,    14.798
         287,  0.3942332E+06,  0.6462922E+07,     5.515,     6.884
         288,  0.3942623E+06,  0.6462873E+07,     5.543,     6.918
         289,  0.3942042E+06,  0.6462971E+07,     6.222,     7.770
         290,  0.3945629E+06,  0.6462536E+07,    22.436,    30.014
         291,  0.3945143E+06,  0.6462639E+07,    20.935,    27.950
         292,  0.3946228E+06,  0.6462651E+07,    11.493,    15.103
         293,  0.3946749E+06,  0.6462557E+07,    11.436,    15.032
         294,  0.3945707E+06,  0.6462745E+07,    12.461,    16.373
         295,  0.3943099E+06,  0.6462937E+07,    14.093,    17.610
         296,  0.3942774E+06,  0.6462974E+07,    12.443,    15.543
         297,  0.3943466E+06,  0.6463000E+07,     4.543,     5.587
         298,  0.3943846E+06,  0.6462969E+07,     4.592,     5.645
         299,  0.3943087E+06,  0.6463031E+07,     5.184,     6.377
         300,  0.3947348E+06,  0.6462672E+07,    24.370,    31.875
         301,  0.3946792E+06,  0.6462757E+07,    22.762,    29.696
         302,  0.3947856E+06,  0.6462785E+07,    11.162,    14.278
         303,  0.3948529E+06,  0.6462700E+07,    11.227,    14.366
         304,  0.3947183E+06,  0.6462870E+07,    12.079,    15.445
         305,  0.3944213E+06,  0.6463033E+07,    13.965,    17.400
         306,  0.3943779E+06,  0.6463057E+07,    12.319,    15.362
         307,  0.3944488E+06,  0.6463093E+07,     5.316,     6.586
         308,  0.3945031E+06,  0.6463070E+07,     5.113,     6.330
         309,  0.3943946E+06,  0.6463116E+07,     6.024,     7.467
         310,  0.3949037E+06,  0.6462812E+07,    21.021,    26.891
         311,  0.3948247E+06,  0.6462898E+07,    19.392,    24.715
         312,  0.3949280E+06,  0.6462938E+07,    12.138,    15.227
         313,  0.3950182E+06,  0.6462855E+07,    12.250,    15.381
         314,  0.3948378E+06,  0.6463021E+07,    13.232,    16.582
         315,  0.3945306E+06,  0.6463131E+07,    11.430,    14.366
         316,  0.3944655E+06,  0.6463153E+07,    10.572,    13.323
         317,  0.3945431E+06,  0.6463193E+07,     7.805,     9.853
         318,  0.3946230E+06,  0.6463169E+07,     7.119,     8.970
         319,  0.3944632E+06,  0.6463217E+07,     8.729,    11.037
         320,  0.3950425E+06,  0.6462980E+07,    20.812,    26.246
         321,  0.3949410E+06,  0.6463060E+07,    18.546,    23.282
         322,  0.3950027E+06,  0.6463112E+07,    13.094,    16.323
         323,  0.3951458E+06,  0.6463039E+07,    14.551,    18.135
         324,  0.3948596E+06,  0.6463184E+07,    13.536,    16.852
         325,  0.3946355E+06,  0.6463231E+07,    11.082,    14.052
         326,  0.3945408E+06,  0.6463257E+07,    10.784,    13.800
         327,  0.3946392E+06,  0.6463284E+07,    10.321,    13.167
         328,  0.3947559E+06,  0.6463243E+07,     8.539,    10.818
         329,  0.3945224E+06,  0.6463324E+07,    12.413,    15.942
         330,  0.3951060E+06,  0.6463171E+07,    10.384,    12.973
         331,  0.3949213E+06,  0.6463236E+07,     9.891,    12.296
         332,  0.3950344E+06,  0.6463253E+07,    18.029,    22.266
         333,  0.3952098E+06,  0.6463194E+07,    18.086,    22.328
         334,  0.3947595E+06,  0.6463296E+07,     8.637,    10.892
         335,  0.3948589E+06,  0.6463312E+07,    14.934,    18.563
         336,  0.3946208E+06,  0.6463350E+07,     9.830,    12.656
         337,  0.3947064E+06,  0.6463366E+07,    15.913,    20.152
         338,  0.3945540E+06,  0.6463419E+07,    17.825,    22.843
         339,  0.3951382E+06,  0.6463276E+07,    11.491,    14.211
         340,  0.3949720E+06,  0.6463329E+07,    10.879,    13.356
         341,  0.3950476E+06,  0.6463387E+07,    14.284,    17.418
         342,  0.3952072E+06,  0.6463347E+07,    14.208,    17.375
         343,  0.3948058E+06,  0.6463382E+07,     9.012,    11.205
         344,  0.3948880E+06,  0.6463427E+07,    14.542,    17.780
