id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
         135,  0.3924139E+06,  0.6462517E+07,   495.525,  3027.258
         136,  0.3924838E+06,  0.6462367E+07,  5433.024,  9996.108
         137,  0.3924363E+06,  0.6462770E+07,   429.923,  2565.251
         138,  0.3925048E+06,  0.6462619E+07,  6239.943,  9998.835
         139,  0.3924586E+06,  0.6463023E+07,   403.460,  2262.410
         140,  0.3925257E+06,  0.6462872E+07,  9332.275,  9998.932
         141,  0.3924810E+06,  0.6463277E+07,   414.522,  2381.649
         142,  0.3925467E+06,  0.6463124E+07,  6451.656,  9996.506
         143,  0.3925676E+06,  0.6463376E+07,  9999.000,  9999.000
         144,  0.3925357E+06,  0.6461969E+07,   661.914,  4261.224
         145,  0.3925552E+06,  0.6462220E+07,   558.768,  3109.674
         146,  0.3926279E+06,  0.6462088E+07,  6670.661,  9998.952
         147,  0.3926098E+06,  0.6461841E+07,  9999.000,  9999.000
         148,  0.3925747E+06,  0.6462470E+07,   515.991,  2988.112
         149,  0.3926460E+06,  0.6462334E+07,  4625.250,  9994.422
         150,  0.3925942E+06,  0.6462721E+07,   456.487,  2534.955
         151,  0.3926640E+06,  0.6462580E+07,  5263.742,  9998.182
         152,  0.3926137E+06,  0.6462972E+07,   433.400,  2176.554
         153,  0.3926821E+06,  0.6462827E+07,  8358.813,  9997.793
         154,  0.3926332E+06,  0.6463222E+07,   441.025,  2293.592
         155,  0.3927002E+06,  0.6463073E+07,  6137.383,  9989.509
         156,  0.3927183E+06,  0.6463320E+07,  9999.000,  9999.000
         157,  0.3927021E+06,  0.6461960E+07,   600.293,  3777.132
         158,  0.3927187E+06,  0.6462202E+07,   499.612,  2814.249
         159,  0.3927928E+06,  0.6462094E+07,  4803.548,  9994.043
         160,  0.3927776E+06,  0.6461860E+07,  9999.000,  9999.000
         161,  0.3927353E+06,  0.6462444E+07,   475.566,  2902.150
         162,  0.3928080E+06,  0.6462328E+07,  3535.595,  9938.917
         163,  0.3927519E+06,  0.6462686E+07,   443.083,  2485.484
         164,  0.3928232E+06,  0.6462561E+07,  3927.217,  9988.408
         165,  0.3927686E+06,  0.6462928E+07,   407.562,  2062.685
         166,  0.3928384E+06,  0.6462795E+07,  6679.945,  9998.860
         167,  0.3927852E+06,  0.6463170E+07,   418.201,  2177.903
         168,  0.3928536E+06,  0.6463029E+07,  6309.392,  9986.748
         169,  0.3928688E+06,  0.6463263E+07,  9999.000,  9999.000
         170,  0.3928684E+06,  0.6461993E+07,   548.772,  3325.811
         171,  0.3928822E+06,  0.6462219E+07,   451.342,  2553.044
         172,  0.3929577E+06,  0.6462118E+07,  6235.029,  9998.933
         173,  0.3929454E+06,  0.6461900E+07,  9999.000,  9999.000
         174,  0.3928959E+06,  0.6462445E+07,   450.343,  2889.395
         175,  0.3929700E+06,  0.6462336E+07,  4670.757,  9992.648
         176,  0.3929097E+06,  0.6462670E+07,   427.336,  2511.580
         177,  0.3929824E+06,  0.6462554E+07,  5183.192,  9997.225
         178,  0.3929235E+06,  0.6462896E+07,   381.410,  1983.324
         179,  0.3929947E+06,  0.6462771E+07,  6796.003,  9969.081
         180,  0.3929372E+06,  0.6463122E+07,   387.437,  2090.787
         181,  0.3930070E+06,  0.6462989E+07,  5497.677,  9932.673
         182,  0.3930194E+06,  0.6463207E+07,  9999.000,  9999.000
         183,  0.3930347E+06,  0.6462025E+07,   366.193,  2300.219
         184,  0.3930456E+06,  0.6462235E+07,   318.103,  1926.844
         185,  0.3931068E+06,  0.6462171E+07,  2014.347,  7560.475
         186,  0.3930942E+06,  0.6461975E+07,  9999.000,  9999.000
         187,  0.3930565E+06,  0.6462445E+07,   358.771,  2551.251
         188,  0.3931194E+06,  0.6462367E+07,  2262.736,  7630.112
         189,  0.3930674E+06,  0.6462654E+07,   365.715,  2341.096
         190,  0.3931320E+06,  0.6462563E+07,  2829.501,  9156.369
         191,  0.3930783E+06,  0.6462864E+07,   327.886,  1798.249
         192,  0.3931446E+06,  0.6462758E+07,  4411.385,  9995.646
         193,  0.3930892E+06,  0.6463074E+07,   349.161,  1979.380
         194,  0.3931572E+06,  0.6462954E+07,  9999.000,  9999.000
         195,  0.3931698E+06,  0.6463150E+07,  9999.000,  9999.000
         196,  0.3931663E+06,  0.6462120E+07,   304.638,  1923.017
         197,  0.3931806E+06,  0.6462302E+07,   275.857,  1731.442
         198,  0.3932391E+06,  0.6462255E+07,  1212.138,  6288.154
         199,  0.3932228E+06,  0.6462087E+07,  8930.605,  9997.264
         200,  0.3931949E+06,  0.6462485E+07,   349.015,  2627.895
         201,  0.3932553E+06,  0.6462423E+07,  1317.132,  6298.019
         202,  0.3932092E+06,  0.6462667E+07,   369.578,  2493.752
         203,  0.3932716E+06,  0.6462591E+07,  2234.025,  8098.344
         204,  0.3932235E+06,  0.6462849E+07,   310.550,  1782.079
         205,  0.3932878E+06,  0.6462758E+07,  4248.802,  9876.700
         206,  0.3932379E+06,  0.6463031E+07,   334.099,  1977.106
         207,  0.3933041E+06,  0.6462926E+07,  9999.000,  9999.000
         208,  0.3933203E+06,  0.6463094E+07,  9999.000,  9999.000
