id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
         198,  0.3932391E+06,  0.6462255E+07,  1205.750,  6304.917
         199,  0.3932228E+06,  0.6462087E+07,  8886.118,  9997.202
         200,  0.3931949E+06,  0.6462485E+07,   347.529,  2646.177
         201,  0.3932553E+06,  0.6462423E+07,  1310.866,  6310.033
         202,  0.3932092E+06,  0.6462667E+07,   368.023,  2508.169
         203,  0.3932716E+06,  0.6462591E+07,  2222.813,  8101.154
         204,  0.3932235E+06,  0.6462849E+07,   309.359,  1788.672
         205,  0.3932878E+06,  0.6462758E+07,  4248.801,  9874.858
         206,  0.3932379E+06,  0.6463031E+07,   332.804,  1983.430
         207,  0.3933041E+06,  0.6462926E+07,  9999.000,  9999.000
         208,  0.3933203E+06,  0.6463094E+07,  9999.000,  9999.000
         209,  0.3932956E+06,  0.6462222E+07,   297.712,  1923.142
         210,  0.3933138E+06,  0.6462375E+07,   290.105,  1845.867
         211,  0.3933814E+06,  0.6462323E+07,  1489.659,  7303.251
         212,  0.3933635E+06,  0.6462180E+07,  9999.000,  9999.000
         213,  0.3933320E+06,  0.6462529E+07,   426.648,  3208.733
         214,  0.3933993E+06,  0.6462466E+07,  1476.899,  6842.968
         215,  0.3933502E+06,  0.6462682E+07,   450.290,  3066.706
         216,  0.3934172E+06,  0.6462609E+07,  2824.523,  9001.122
         217,  0.3933684E+06,  0.6462836E+07,   317.745,  1900.119
         218,  0.3934351E+06,  0.6462752E+07,  6099.249,  9971.752
         219,  0.3933866E+06,  0.6462989E+07,   329.504,  2042.156
         220,  0.3934530E+06,  0.6462895E+07,  8374.771,  9994.986
         221,  0.3934709E+06,  0.6463038E+07,  9999.000,  9999.000
         222,  0.3934493E+06,  0.6462281E+07,   296.930,  1948.470
         223,  0.3934669E+06,  0.6462413E+07,   295.459,  1908.923
         224,  0.3935420E+06,  0.6462340E+07,  2309.765,  8112.743
         225,  0.3935261E+06,  0.6462212E+07,  9999.000,  9999.000
         226,  0.3934845E+06,  0.6462546E+07,   591.774,  4167.058
         227,  0.3935580E+06,  0.6462469E+07,  1647.193,  6529.389
         228,  0.3935021E+06,  0.6462678E+07,   626.698,  4068.268
         229,  0.3935739E+06,  0.6462597E+07,  3713.009,  9301.279
         230,  0.3935198E+06,  0.6462811E+07,   326.446,  2034.416
         231,  0.3935898E+06,  0.6462725E+07,  2985.197,  9617.566
         232,  0.3935374E+06,  0.6462943E+07,   326.720,  2128.365
         233,  0.3936057E+06,  0.6462853E+07,  3142.114,  9689.377
         234,  0.3936216E+06,  0.6462982E+07,  9999.000,  9999.000
         235,  0.3936189E+06,  0.6462272E+07,   233.437,  1619.997
         236,  0.3936331E+06,  0.6462396E+07,   196.842,  1422.640
         237,  0.3936903E+06,  0.6462338E+07,   700.810,  3697.531
         238,  0.3936772E+06,  0.6462204E+07,  9999.000,  9999.000
         239,  0.3936473E+06,  0.6462520E+07,   630.133,  4476.451
         240,  0.3937002E+06,  0.6462458E+07,   699.358,  3679.321
         241,  0.3936615E+06,  0.6462644E+07,   709.149,  4617.645
         242,  0.3937116E+06,  0.6462573E+07,  1628.415,  5842.470
         243,  0.3936757E+06,  0.6462768E+07,   204.641,  1486.752
         244,  0.3937226E+06,  0.6462692E+07,  1499.232,  8871.900
         245,  0.3936899E+06,  0.6462892E+07,   211.993,  1619.462
         246,  0.3937338E+06,  0.6462811E+07,  1063.637,  7333.917
         247,  0.3937460E+06,  0.6462940E+07,  9999.000,  9999.000
