FVC file = swan_helena_v4g.fvc, Simulation Execution: 12/04/2019 15:05:48
Cell Coordinates and properties applied to model,X,Y,ZB,MATID,Area,ID
, 0.39585848083459E+06, 0.64653067177836E+07, -0.1361992E+01,           1,  0.1460046E+05,         254
, 0.39560249389660E+06, 0.64650630922509E+07, -0.2054608E+01,           1,  0.9973884E+04,         255
, 0.39568337376221E+06, 0.64650934054102E+07, -0.2122839E+01,           1,  0.1022964E+05,         256
, 0.39576424223258E+06, 0.64651237116309E+07, -0.1871668E+01,           1,  0.1048550E+05,         257
, 0.39584509846902E+06, 0.64651540191657E+07, -0.1468230E+01,           1,  0.1074095E+05,         258
, 0.39559241603224E+06, 0.64649358647428E+07, -0.2112225E+01,           1,  0.8069913E+04,         259
, 0.39565752895260E+06, 0.64649568365284E+07, -0.2166762E+01,           1,  0.8360705E+04,         260
, 0.39572262421641E+06, 0.64649777967018E+07, -0.1886175E+01,           1,  0.8651578E+04,         261
, 0.39578770211938E+06, 0.64649987540536E+07, -0.1455971E+01,           1,  0.8942105E+04,         262
, 0.39558781594316E+06, 0.64648079761156E+07, -0.2158939E+01,           1,  0.6569598E+04,         263
, 0.39563922300020E+06, 0.64648187122702E+07, -0.2204369E+01,           1,  0.7002269E+04,         264
, 0.39569060670640E+06, 0.64648294415701E+07, -0.1901879E+01,           1,  0.7434716E+04,         265
, 0.39574197192069E+06, 0.64648401660336E+07, -0.1449289E+01,           1,  0.7867164E+04,         266
, 0.39560847316980E+06, 0.64646581846341E+07, -0.2165815E+01,           1,  0.7774426E+04,         267
, 0.39565232823522E+06, 0.64646699701467E+07, -0.2233408E+01,           1,  0.7165575E+04,         268
, 0.39569617890240E+06, 0.64646817552130E+07, -0.1949597E+01,           1,  0.6556429E+04,         269
, 0.39574002340142E+06, 0.64646935364492E+07, -0.1498489E+01,           1,  0.5947694E+04,         270
